business_name,phone,website,address,lat,lon,postcode,rating,review_count,category_raw,price,source
"Alice Bravo & Assoc., LLC",(305) 209-9019,http://www.pabravo.com/,"2525 Ponce de Leon Blvd Ste 300, Coral Gables, FL 33134",,,,,,Legal services,,serpapi
All Atlantic Benefits,(305) 809-8211,https://www.allatlanticbenefits.com/,"200 S Park Rd Suite 475, Hollywood, FL 33021",,,,,,Health insurance agency,,serpapi
"All My Sons Moving & Storage of Miami, LLC",(305) 363-1655,https://www.allmysons.com/miami/index.aspx?utm_source=GMBlisting&utm_medium=organic&phone=305-363-1655,"111 NE 1st St 8th Floor #1004, Miami, FL 33132",,,,3.8,,Moving and storage service,,serpapi
allCanes,(305) 661-9011,http://www.allcanes.com/,"5831 Ponce de Leon Blvd, Coral Gables, FL 33146",,,,4.7,,"['Sportswear store', 'Sports memorabilia store']",,serpapi
"Allen Dyer Doppelt + Gilchrist, P.A",(305) 374-8303,https://allendyer.com/,"121 Alhambra Plz Suite 1250, Coral Gables, FL 33134",,,,1,,['Law firm'],,serpapi
Allen Morris Company,(305) 443-1000,http://www.allenmorris.com/,"121 Alhambra Plz #1600, Coral Gables, FL 33134",,,,5,,"['Corporate office', 'Commercial real estate agency', 'Office space rental agency', 'Property management company', 'Real estate agency', 'Real estate developer']",,serpapi
Alliant Insurance Services Inc,(305) 421-0900,https://alliant.com/,"804 Douglas Rd Suite 830, Coral Gables, FL 33134",,,,,,Insurance broker,,serpapi
AllianzTrade,(305) 269-1955,https://www.allianz-trade.com/en_US.html,"10451 NW 117th Ave #101, Miami, FL 33178",,,,5,,Insurance agency,,serpapi
Allied North America Insurance Brokerage Of FL LLC,(305) 265-0112,https://nsigroup.org/contact/coral-gables-fl-insurance/,"2122 SW 67th Ave, Miami, FL 33155",,,,5,,Home insurance agency,,serpapi
Aloft Miami Dadeland,(305) 595-6000,https://www.marriott.com/en-us/hotels/miamd-aloft-miami-dadeland/overview/?scid=f2ae0541-1279-4f24-b197-a979c79310b0,"7600 N Kendall Dr, Miami, FL 33156",,,,3.8,,"['Hotel', 'Meeting planning service']",,serpapi
Alpha Claims Consultants,(786) 496-2377,http://alphaclaimscorp.com/,"8362 Pines Blvd Suite 402, Pembroke Pines, FL 33024",,,,4.4,,Business management consultant,,serpapi
Alzheimers Association,(800) 272-3900,https://www.alz.org/,"2828 Coral Wy #103, Miami, FL 33145",,,,,,Association / Organization,,serpapi
AMan Barber Shop,(305) 282-7081,https://www.a-manbarbershop.com/,"2 Aragon Ave Suite #33, Coral Gables, FL 33134",,,,5,,['Barber shop'],,serpapi
AMC Sunset Place 24,(305) 740-8904,https://www.amctheatres.com/movie-theatres/miami-ft-lauderdale/amc-sunset-place-24?utm_medium=organic&utm_source=google&utm_campaign=local,"5701 Sunset Dr #300, South Miami, FL 33143",,,,4.2,,"['Movie theater', 'IMAX theater']",,serpapi
Amerant Bank,(305) 460-4001,https://www.amerantbank.com/branches/fl/coral-gables/220-alhambra-circle,"220 Alhambra Cir, Coral Gables, FL 33134",,,,4,,Bank,,serpapi
America Red Cross - South Florida,(305) 644-1200,https://www.redcross.org/local/florida/south-florida/about-us/locations/greater-miami-the-keys.html?CID=organic_gmb_listings,"335 SW 27th Ave, Miami, FL 33135",,,,4.6,,"['Non-profit organization', 'Charity', 'Volunteer organization']",,serpapi
American Airlines,(800) 433-7300,,"901 Ponce de Leon Blvd, Coral Gables, FL 33134",,,,4.2,,['Airline'],,serpapi
American Cancer Society,(786) 535-7147,https://www.cancer.org/,"9500 S Dadeland Blvd #710, Miami, FL 33156",,,,3,,['Association / Organization'],,serpapi
American Heart Association,(305) 631-4740,http://www.heart.org/,"2600 SW 3rd Ave STE 900, Miami, FL 33129",,,,5,,"['Non-profit organization', 'Association / Organization']",,serpapi
American Legion Post 98,(305) 400-8043,http://www.alpost98.org/,"303 Alhambra Cir, Coral Gables, FL 33134",,,,4.9,16,['Veterans organization'],,serpapi
American Red Cross,(305) 644-1200,https://www.redcross.org/local/florida/south-florida/about-us/locations/greater-miami-the-keys.html?CID=organic_gmb_listings,"335 SW 27th Ave, Miami, FL 33135",,,,4.6,,Non-profit organization,,serpapi
American Transportation & Limo,+1 305-885-5002,https://americanlimofl.com/?utm_campaign=gmb,"3319 NW 74th Ave, Miami, FL 33122, United States",,,,4.9,,"['Limousine service', 'Airport shuttle service', 'Bus charter', 'Chauffeur service', 'Transportation service', 'Wedding service']",,serpapi
Americana Kitchen At Loews,(786) 772-7600,https://www.americanakitchen.com/,"2950 Coconut Grove Dr, Coral Gables, FL 33134",,,,4.4,,"['Restaurant', 'Bar']",,serpapi
Amscot,(305) 714-9939,https://www.amscot.com/location/branch-224/3980-sw-8th-st-coral-gables-fl-33134?utm_source=GMB&utm_medium=organic&utm_content=branch224&utm_campaign=website_button,"3980 SW 8th St, Coral Gables, FL 33134",,,,4.5,,"['Loan agency', 'Check cashing service', 'Money order service', 'Money transfer service', 'Notary public']",,serpapi
"Ana B. Garcia, CPA",(786) 763-3221,http://www.anabgarciacpa.com/,"13640 N Kendall Dr Suite 1039, Miami, FL 33186",,,,5,,['Certified public accountant'],,serpapi
Animal Clinic of Miami-Dade,(305) 262-8888,https://animalclinicofmiadade.com/,"2134 Ludlam Rd, Miami, FL 33155",,,,4.5,,"['Veterinarian', 'Animal hospital']",,serpapi
Ann Taylor,+1 305-567-8959,https://www.anntaylor.com/store/fl/coral-gables/358-san-lorenzo-avenue?y_source=1_MTY1NzM5OS03MTUtbG9jYXRpb24ud2Vic2l0ZQ%3D%3D,"358 San Lorenzo Ave, Coral Gables, FL 33146, United States",,,,4,,"[""Women's clothing store"", 'Clothing store', 'Fashion accessories store', 'Jewelry store', 'Shoe store']",,serpapi
Anne Rezac Design,(786) 558-5855,https://nandezdesign.com/,"2234 Coral Wy, Miami, FL 33145",,,,4.8,,General contractor,,serpapi
Anthony R. Abraham Foundation,(305) 446-9670,https://gablesfoundation.org/,"288 Aragon Ave Suite D, Coral Gables, FL 33134",,,,5,,['Foundation'],,serpapi
Apizza Brooklyn,(786) 216-7153,http://www.apizzabrooklyn.com/,"5755 Bird Rd, Miami, FL 33155",,,,4.4,,"['Italian restaurant', 'Pizza restaurant']",,serpapi
APS Security Group Inc.,(305) 591-8282,http://apsmiami.com/,"4679 SW 72nd Ave, Miami, FL 33155",,,,5,,"['Security system installation service', 'Audio visual equipment supplier', 'Fire alarm supplier', 'Security service', 'Security system supplier', 'Home audio store']",,serpapi
Ara Gallery Cultural Center,(305) 446-5578,https://americascollection.com/,"4213 Ponce de Leon Blvd, Coral Gables, FL 33146",,,,4.9,,Art gallery,,serpapi
Arby's,(305) 265-2011,http://www.arbys.com/locations/us/fl/miami/6760-sw-8th-st/store-167?utm_source=google-my-business&utm_medium=organic&utm_campaign=website-link&y_source=1_MjAyMzUyNTAwMC03MTUtbG9jYXRpb24ud2Vic2l0ZQ%3D%3D,"6760 SW 8th St, Miami, FL 33144",,,,4.3,,Fast food restaurant,,serpapi
Arcano  Sabores de Esencia Hispana,(305) 530-8332,https://arcanomiami.com/?utm_source=google,"259 Giralda Ave, Coral Gables, FL 33134",,,,4.8,,"['Latin American restaurant', 'Caterer', 'Cocktail bar', 'Gluten-free restaurant', 'Hamburger restaurant', 'Sandwich shop', 'Spanish restaurant', 'Tapas restaurant', 'Vegetarian restaurant', 'Wine bar']",,serpapi
Architectural Design Collaborative Inc.,(305) 442-1188,http://www.adcinternational.net/,"235 Alcazar Ave, Coral Gables, FL 33134",,,,5,,['Architect'],,serpapi
Archivist Cafe,(305) 284-4577,https://dineoncampus.com/miami,"1300 Memorial Dr, Coral Gables, FL 33146",,,,5,,['Cafe'],,serpapi
Arco Agent Insurance Inc,(305) 421-6355,http://www.arcoagent.com/,"2000 Ponce de Leon Blvd, Coral Gables, FL 33134",,,,3,,['Insurance agency'],,serpapi
Area Stage Company,(305) 666-2078,https://www.areastage.org/,"5701 Sunset Dr Suite 286, South Miami, FL 33143",,,,4.9,,"['Arts organization', ""Children's theater"", 'Dance school', 'Drama school', 'Event venue', 'Performing arts theater', 'Theater company', 'Theater production', 'Vocal instructor']",,serpapi
Arias & Abbass Your Attorneys,(786) 530-4357,https://talktomyattorneys.com/,"8725 NW 18th Terrace suite 313, Doral, FL 33172",,,,5,242,"['Personal injury attorney', 'Law firm']",,serpapi
Aromas del Peru,(305) 476-5885,https://aromasperu.com/aromasdelperucoralgables?utm_source=google,"110 Giralda Ave, Coral Gables, FL 33134",,,,4.9,,['Peruvian restaurant'],,serpapi
ARTE CUCINE,+1 786-538-8633,https://artecucine.net/,"221 Miracle Mile, Coral Gables, FL 33134, United States",,,,5,,['Kitchen furniture store'],,serpapi
Arthur J. Gallagher,(305) 592-6080,https://locations.ajg.com/us/fl/miami/9155-south-dadeland-boulevard?utm_source=google&utm_medium=Google_My_Business&utm_campaign=GMB_website_click_9155+South+Dadeland+Boulevard+Miami&y_source=1_MzE5NjgxMjctNzE1LWxvY2F0aW9uLndlYnNpdGU%3D,"9155 S Dadeland Blvd Suite 1112, Miami, FL 33156",,,,,,Insurance agency,,serpapi
Arthur Murray Coral Gables Dance Studio,(305) 444-6136,https://arthur-murray.com/,"2916 Ponce de Leon Blvd, Coral Gables, FL 33134",,,,4.8,,Ballroom dance instructor,,serpapi
Arthur Murray International Inc.,(305) 445-9645,https://www.arthurmurray.com/,"1077 Ponce de Leon Blvd, Coral Gables, FL 33134",,,,3.9,,"['Corporate office', 'Ballroom dance instructor', 'Dance company', 'Dance school']",,serpapi
Artigiano Inc.,(305) 569-9970,https://www.artigianomiami.com/,"4212 Laguna St, Coral Gables, FL 33146",,,,4.9,,"[""Men's clothing store"", 'Clothing store', 'Custom tailor', 'Jeans shop', 'Fashion accessories store', 'Formal wear store', ""Men's tailor"", 'Shoe repair shop', 'Shoe store', 'Sportswear store']",,serpapi
"Arvani Group, LLC",(305) 803-0313,http://arvanibwllc.com/contactus.htm,"147 Alhambra Cir #241, Coral Gables, FL 33134",,,,1,,['Contractor'],,serpapi
ArX Creative,(305) 443-7733,http://www.arxsolutions.com/,"1805 Ponce de Leon Blvd, Coral Gables, FL 33134",,,,4.3,,['Graphic designer'],,serpapi
"Ascendant Insurance Solutions, LLC",(305) 820-4360,http://www.ascendantgroup.com/,"2199 Ponce de Leon Blvd #500, Miami, FL 33144",,,,2.9,,Insurance company,,serpapi
"Ascendo Resources, LLC",(305) 423-1221,https://ascendo.com/,"2 Alhambra Plz PH 2A, Coral Gables, FL 33134",,,,4.4,,"['Recruiter', 'Human resource consulting']",,serpapi
Ascension Global Staffing & Executive Search,(786) 503-1910,https://ascensionsearch.com/,"7480 SW 40th St suite 605, Miami, FL 33155",,,,4,,Executive search firm,,serpapi
Ascension/Descension,(239) 677-7786,http://ascensionhealingcenterswfl.com/,"1059 NE Pine Island Rd Unit #5, Cape Coral, FL 33909",,,,4.8,,['Metaphysical supply store'],,serpapi
Asia Grocery,(786) 268-7700,,"6785 SW 56th St, Miami, FL 33155",,,,4.6,,Asian grocery store,,serpapi
Asian Thai Kitchen,(305) 323-9294,https://www.asianthaikitchensushi.com/,"3135 Grand Ave, Miami, FL 33133",,,,4.5,,Thai restaurant,,serpapi
Attractions,(305) 603-8067,http://coralgablesmuseum.org/,"285 Aragon Ave, Coral Gables, FL 33134",,,,4.4,,Tourist attraction,,serpapi
Au Advisors,(305) 774-6822,https://www.blockadvisors.com/tax-office-near-me/florida/coral-gables/8470/?otppartnerid=9308&campaignid=pw_mcm_9308_9762&utm_medium=local,"2417 Ponce de Leon Blvd, Coral Gables, FL 33134",,,,4.9,,Tax preparation service,,serpapi
Audi,(786) 885-3479,https://www.thecollectionaudimiami.com/,"200 Bird Rd, Coral Gables, FL 33146",,,,4.8,,"['Audi dealer', 'Car dealer']",,serpapi
Audio Visual Company,(305) 696-4800,http://www.audiovisualsvc.com/,"4472 NW 74th Ave, Miami, FL 33166",,,,5,,Audiovisual equipment rental service,,serpapi
Audrey Ross Team  Compass Florida,(305) 661-4003,https://www.miamirealestate.com/,"4699 Ponce de Leon Blvd, Coral Gables, FL 33146",,,,4.5,,"['Real estate agency', 'Real estate agent', 'Real estate consultant']",,serpapi
Audrey Ross Team - Compass,+1 305-661-4003,https://www.miamirealestate.com/,"4699 Ponce de Leon Blvd, Coral Gables, FL 33146, United States",,,,4.5,,"['Real estate agency', 'Real estate agent', 'Real estate consultant']",,serpapi
Aurora Academy,(303) 367-5983,http://www.aacademy.org/,"10251 E 1st Ave, Aurora, CO 80010",,,,,,Charter school,,serpapi
AutoNation Chevrolet,(305) 707-0139,https://www.autonationchevroletcoralgables.com/?&utm_source=local&utm_medium=organic&utm_campaign=*000012248*GMB,"4181 SW 8th St, Coral Gables, FL 33134",,,,4.3,,"['Chevrolet dealer', 'Auto parts store', 'Auto repair shop', 'Car accessories store', 'Car dealer', 'Truck dealer', 'Used car dealer', 'Used truck dealer']",,serpapi
AutoZone,(305) 644-1570,https://www.autozone.com/locations/fl/miami/1200-sw-27th-ave.html?cmpid=LOC:US:EN:AD:NL:1000000:GEN:1051,"1200 SW 27th Ave, Miami, FL 33135",,,,4.5,,Auto parts store,,serpapi
"Avante Insurance Group, LLC",(305) 648-7070,https://www.avante-nea.com/,"8700 W Flagler St Suite 401, Miami, FL 33174",,,,3.5,,Insurance agency,,serpapi
AvantGarde Salon & Spa,(305) 442-8136,https://avantgardesalonandspa.com/,"155 Miracle Mile, Miami, FL 33134",,,,4.9,,"['Hair salon', 'Beauty salon', 'Hair extension technician', 'Hairdresser']",,serpapi
Avenues of Excellence Inc.,(786) 749-2276,https://www.avenuesofexcellence.com/,"1 Alhambra Plz PH floor, Coral Gables, FL 33134",,,,5,,['Training center'],,serpapi
Avis,(305) 648-2252,https://www.avis.com/en/locations/us/fl/coral-gables/lhcgf,"2950 Coconut Grove Dr, Coral Gables, FL 33134",,,,1,,Car rental agency,,serpapi
Azucar Nightclub,(786) 252-2996,,"2301 SW 32nd Ave, Miami, FL 33145",,,,3.9,372,"['Gay night club', 'Bar', 'Gay bar', 'Night club']",,serpapi
Azzendo Wealth Advisors,(305) 648-9814,http://www.azzendo.com/,"901 Ponce de Leon Blvd STE 501, Coral Gables, FL 33134",,,,4.5,4,"['Financial planner', 'Financial consultant', 'Investment service']",,serpapi
Bacardi USA,+1 305-573-8511,http://www.bacardiusa.com/,"3011 Ponce de Leon Blvd Suite 900, Coral Gables, FL 33134, United States",,,,4.7,,['Alcohol manufacturer'],,serpapi
Bachour Bakery,(305) 203-0552,http://www.antoniobachour.com/,"2020 Salzedo St, Miami, FL 33134",,,,4.6,,"['Restaurant', 'Bakery']",,serpapi
Bachour Restaurant and Bakery,(305) 203-0552,http://www.antoniobachour.com/,"2020 Salzedo St, Miami, FL 33134",,,,4.6,,"['Restaurant', 'Bakery']",,serpapi
Ball & Chain,(305) 643-7820,https://ballandchainmiami.com/,"1513 SW 8th St, Miami, FL 33135",,,,4.6,,"['Live music bar', 'Cuban restaurant', 'Event venue', 'Jazz club', 'Live music venue', 'Lounge', 'Night club', 'Wedding venue']",,serpapi
Ball Janik,(786) 770-8665,https://www.balljanik.com/,"100 SE 2nd St Suite 4100, Miami, FL 33131",,,,5,,['Law firm'],,serpapi
Banesco USA,(786) 725-3000,https://www.banescousa.com/,"150 Alhambra Cir Suite 100, Coral Gables, FL 33134",,,,3.9,,"['Bank', 'ATM']",,serpapi
Banfield Pet Hospital,(786) 796-2241,https://www.banfield.com/locations/veterinarians/fl/coral-gables/crg?utm_source=yext&utm_medium=yext&utm_campaign=yext&cid=yext_local,"3176 SW 22nd St, Coral Gables, FL 33145",,,,3.7,,"['Veterinarian', 'Animal hospital', 'Veterinary pharmacy']",,serpapi
Bank of America,(305) 442-2787,https://locators.bankofamerica.com/fl/coralgables/financial-centers-coral-gables-9739.html?utm_source=GMBlisting&utm_medium=organic,"2308 Ponce de Leon Blvd, Coral Gables, FL 33134",,,,2.5,,Bank,,serpapi
banking,+1 305-442-0089,https://www.chase.com/locator/banking/us/fl/coral-gables/355-alhambra-cir?jp_cmp=rb%2FLocalListings%2Faff%2Fbranch%2Fna&y_source=1_MjAzOTExMi03MTUtbG9jYXRpb24ud2Vic2l0ZQ%3D%3D,"355 Alhambra Cir Ste 100, Coral Gables, FL 33134, United States",,,,3.5,,Bank,,serpapi
BankMiami,(305) 372-3601,https://pichinchamiami.com/,"396 Alhambra Cir PH2, Coral Gables, FL 33134",,,,2,,Bank,,serpapi
BankUnited,(786) 648-6330,https://www.bankunited.com/,"299 Miracle Mile, Coral Gables, FL 33145",,,,2.6,,Bank,,serpapi
"Banna Fakhoury, PA",,https://bannamiami.com/,"119 Washington Ave Suite 102, Miami Beach, FL 33139",,,,5,,Real estate agent,,serpapi
Baptist Health South Florida,(786) 662-7000,http://baptisthealth.net/,"6855 Red Rd, Coral Gables, FL 33143",,,,3.3,,Corporate office,,serpapi
Baptist Rehabilitation Hospital,(786) 308-2000,https://baptisthealth.net/locations/physical-rehabilitation-centers/baptist-health-physical-therapy-and-rehabilitation---coral-gables?utm_source=yext&utm_medium=google&utm_campaign=listing&y_source=1_MTIwNTAzMTAtNzE1LWxvY2F0aW9uLndlYnNpdGU%3D,"1222 S Dixie Hwy, Coral Gables, FL 33146",,,,4.7,,"['Occupational therapist', 'Rehabilitation center']",,serpapi
Barbell,(786) 755-3259,https://www.startingstrengthgyms.com/miami/,"8400 S Dixie Hwy Suite 102, Miami, FL 33143",,,,5,,Gym,,serpapi
Barbershop God is Love,(786) 560-6692,https://god-is-love-1995.square.site/,"2263 SW 37th Ave Ste 131, Miami, FL 33145",,,,5,,['Barber shop'],,serpapi
Barnes & Noble,(305) 446-4152,https://stores.barnesandnoble.com/store/2739,"152 Miracle Mile, Coral Gables, FL 33134",,,,4.6,,"['Book store', 'Cafe', ""Children's book store"", 'Hobby store', 'Toy store']",,serpapi
Barracuda,(305) 918-9013,https://www.instagram.com/barracudagrove/,"3035 Fuller St, Coconut Grove, FL 33133",,,,4.4,,"['Bar & grill', 'American restaurant', 'Bar', 'Restaurant', 'Seafood restaurant', 'Sports bar']",,serpapi
Barrington Academy,(770) 474-0772,http://www.barringtonacademy.com/,"810 Flat Rock Rd, Stockbridge, GA 30281",,,,4.4,,Preschool,,serpapi
