business_id,business_name,category_primary,postcode,expected_dataset,license_status,license_number,license_expiry,matched_name,match_score,notes
abadindentalinvisalignveneersimplants,Abadin Dental - Invisalign Veneers Implants,healthcare,33134,out_of_scope,out_of_scope,,,,,FL Dept. of Health (not DBPR — check flhealthsource.gov)
abascalgroupresidentialcommercialconstruction,"Abascal Group, Inc. Residential + Commercial Construction",construction,33146,construction,verified_active,CRC1327498,08/31/2026,Y & Y CONSTRUCTION INC,100,
abcoptometry,ABC Optometry,healthcare,33165,out_of_scope,out_of_scope,,,,,FL Dept. of Health (not DBPR — check flhealthsource.gov)
abitosaccountantsadvisors,AbitOs Accountants + Advisors,accounting,33134,,not_required,,,,,
ac_hotel_miami_dadeland,AC Hotel Miami Dadeland,hospitality,33133,,not_required,,,,,
academy_for_community_education,Academy for Community Education,education,33134,,not_required,,,,,
academy_of_arts_and_minds_school,Academy of Arts and Minds School,education,33134,,not_required,,,,,
accounting_to_scale,Accounting to Scale,accounting,33156,,not_required,,,,,
accountorcaccountingbookkeepingandtaxexperts,Accountor CPA Accounting Bookkeeping and Tax Experts,accounting,33134,,not_required,,,,,
ace_hardware,Ace Hardware,retail,33155,,not_required,,,,,
actioncoach_team_sage,ActionCOACH Team Sage,consulting,33146,,not_required,,,,,
actors_playhouse_at_the_miracle_theatre,Actors' Playhouse at the Miracle Theatre,accounting,33134,,not_required,,,,,
adriana_hoyos,ADRIANA HOYOS,retail,33134,,not_required,,,,,
advance_auto_parts,Advance Auto Parts,auto_dealer,33144,,not_required,,,,,
advancedphysicaltherapyspecialists,Advanced Physical Therapy Specialists,healthcare,33143,out_of_scope,out_of_scope,,,,,FL Dept. of Health (not DBPR — check flhealthsource.gov)
aecom,AECOM,professional_services,33134,,not_required,,,,,
afrasensemassagetherapy,Afrasense Massage Therapy,wellness,33134,out_of_scope,out_of_scope,,,,,massage/therapy may need DOH license — verify manually
agrealtybrokers,AG REALTY BROKERS,real_estate,33134,real_estate,verified_active,CQ270258,30-SEP-28,M A H B REALTY INC,100,
ai_digital,AI Digital,technology,33146,,not_required,,,,,
airlab_fitness,Airlab Fitness,wellness,33143,out_of_scope,out_of_scope,,,,,massage/therapy may need DOH license — verify manually
airlabfitnesscoralgables,AIRLAB Fitness Coral Gables,wellness,33134,out_of_scope,out_of_scope,,,,,massage/therapy may need DOH license — verify manually
ajp_ventures_corp,AJP Ventures Corp.,financial_services,33134,,not_required,,,,,
akashi_japanese_restaurant,Akashi Japanese Restaurant,food_beverage,33133,food_service,verified_active,SEA2300159,10/01/2026,AKASHI JAPANESE RESTAURANT,100,
alamir,Al-Amir,food_beverage,33146,food_service,unlicensed,,,,,no active DBPR Hotels & Restaurants (food service) license found in area
albany_homes_construction_inc,Albany Homes Construction Inc.,construction,33146,construction,verified_active,CGC1524580,08/31/2026,"ALBANY HOMES CONSTRUCTION, INC",100,
albite_law_group_pa,Albite Law Group PA,legal,33155,,not_required,,,,,
alcazarplaza,Alcazar Plaza,retail,33134,,not_required,,,,,
alchemyhairlab,Alchemy Hair Lab,personal_services,33134,,not_required,,,,,
aldi,Aldi,retail,33133,,not_required,,,,,
alegro_music_center,Alegro Music Center,arts_culture,33134,,not_required,,,,,
aleidamartinezfamilydaycarecenter,Aleida Martinez Family Day Care Center,education,33134,,not_required,,,,,
alejandroalvarez,Alejandro Alvarez,real_estate,33134,real_estate,unlicensed,,,,,no active DBPR Real Estate Commission (corporations) license found in area
alexallelectric,Alex All Electric,construction,33165,construction,unlicensed,,,,,no active DBPR Construction Industry license found in area
alexandersteclefinancialadvisor,Alexander S. Tecle - Financial Advisor,financial_services,33134,,not_required,,,,,
alfredoaizaguirre,"Alfredo A. Izaguirre, P.A.",legal,33134,,not_required,,,,,
all_my_sons_moving_storage_of_miami_llc,"All My Sons Moving & Storage of Miami, LLC",personal_services,33133,,not_required,,,,,
allcanes,allCanes,retail,33146,,not_required,,,,,
allen_dyer_doppelt_gilchrist_pa,"Allen Dyer Doppelt + Gilchrist, P.A",legal,33143,,not_required,,,,,
alliantinsuranceservices,Alliant Insurance Services Inc,insurance,33134,,not_required,,,,,
almaadvertisingagency,Alma Advertising Agency,marketing,33133,,not_required,,,,,
almabellayoga,Alma Bella Yoga,wellness,33134,out_of_scope,out_of_scope,,,,,massage/therapy may need DOH license — verify manually
alo,ALO,retail,33146,,not_required,,,,,
aloftcoralgables,Aloft Coral Gables,hospitality,33134,,not_required,,,,,
aloft_miami_dadeland,Aloft Miami Dadeland,real_estate,33156,real_estate,unlicensed,,,,,no active DBPR Real Estate Commission (corporations) license found in area
alpha_claims_consultants,Alpha Claims Consultants,consulting,33134,,not_required,,,,,
alphafoundations,Alpha Foundations,construction,33134,construction,unlicensed,,,,,no active DBPR Construction Industry license found in area
alsmile,ALSMILE,healthcare,33143,out_of_scope,out_of_scope,,,,,FL Dept. of Health (not DBPR — check flhealthsource.gov)
altotostadocoffeeroasters,Alto Tostado Coffee Roasters,food_beverage,33134,food_service,verified_active,SEA2334393,10/01/2026,ALTO TOSTADO COFFEE ROASTERS,100,
aman_barber_shop,AMan Barber Shop,personal_services,33134,,not_required,,,,,
amauryjewelry,Amaury Jewelry,retail,33134,,not_required,,,,,
amc_sunset_place_24,AMC Sunset Place 24,arts_culture,33143,,not_required,,,,,
american_airlines,American Airlines,transportation,33134,,not_required,,,,,
american_red_cross,American Red Cross,nonprofit,33143,,not_required,,,,,
amerifirstconstructioncgc1507077,Amerifirst Construction Corp - CGC # 1507077,construction,33134,construction,verified_active,CGC020606,08/31/2026,R B S CONSTRUCTION INC,100,
amigogrio,Amigo Grill & Co,food_beverage,33134,food_service,unlicensed,,,,,no active DBPR Hotels & Restaurants (food service) license found in area
ampupchargingstation,AmpUp Charging Station,construction,33134,construction,unlicensed,,,,,no active DBPR Construction Industry license found in area
amscot,Amscot,banking,33155,,not_required,,,,,
andreamaderal,Andrea Maderal,healthcare,33134,out_of_scope,out_of_scope,,,,,FL Dept. of Health (not DBPR — check flhealthsource.gov)
animalclinic843,Animal Clinic 8 & 43,healthcare,33134,out_of_scope,out_of_scope,,,,,FL Dept. of Health (not DBPR — check flhealthsource.gov)
animal_clinic_of_miamidade,Animal Clinic of Miami-Dade,healthcare,33155,out_of_scope,out_of_scope,,,,,FL Dept. of Health (not DBPR — check flhealthsource.gov)
ann_taylor,Ann Taylor,retail,33146,,not_required,,,,,
ansbacherlaw,Ansbacher Law,legal,33146,,not_required,,,,,
anthemadvisors,Anthem Advisors,financial_services,33134,,not_required,,,,,
anthony_r_abraham_foundation,Anthony R. Abraham Foundation,accounting,33146,,not_required,,,,,
anthropologie,Anthropologie,retail,33146,,not_required,,,,,
antonioperezc,"Antonio Perez CPA, P.A.",accounting,33134,,not_required,,,,,
apexengineering,Apex Engineering,professional_services,33146,,not_required,,,,,
apizza_brooklyn,Apizza Brooklyn,food_beverage,33155,food_service,verified_active,SEA2331238,10/01/2026,APIZZA BROOKLYN,100,
apti_american_physical_therapy_institute,APTI American Physical Therapy Institute,healthcare,33146,out_of_scope,out_of_scope,,,,,FL Dept. of Health (not DBPR — check flhealthsource.gov)
ara_gallery_cultural_center,Ara Gallery Cultural Center,arts_culture,33133,,not_required,,,,,
araneyeassociatescoralgables,Aran Eye Associates - Coral Gables,healthcare,33134,out_of_scope,out_of_scope,,,,,FL Dept. of Health (not DBPR — check flhealthsource.gov)
arbys,Arby's,food_beverage,33144,food_service,verified_active,SEA2325625,10/01/2026,ARBY'S #167,100,
arcano_sabores_de_esencia_hispana,Arcano  Sabores de Esencia Hispana,wellness,33133,out_of_scope,out_of_scope,,,,,massage/therapy may need DOH license — verify manually
architectural_design_collaborative_inc,Architectural Design Collaborative Inc.,professional_services,33134,,not_required,,,,,
archivist_cafe,Archivist Cafe,food_beverage,33146,food_service,unlicensed,,,,,no active DBPR Hotels & Restaurants (food service) license found in area
arcoagentinsurance,Arco Agent Insurance Inc,insurance,33134,,not_required,,,,,
ardurra,Ardurra,professional_services,33134,,not_required,,,,,
area_stage_company,Area Stage Company,arts_culture,33134,,not_required,,,,,
arhaus,Arhaus,retail,33146,,not_required,,,,,
arias__abbass_your_attorneys,Arias & Abbass Your Attorneys,legal,33146,,not_required,,,,,
armstrong_jazz_house,Armstrong Jazz House,arts_culture,33134,,not_required,,,,,
aromas_del_peru,Aromas del Peru,food_beverage,33144,food_service,verified_active,SEA2324821,10/01/2026,AROMAS DEL PERU WEST MIAMI,100,
arpeengineering,ARPE Engineering,professional_services,33134,,not_required,,,,,
arrowheadnurseryandkindergarten,Arrowhead Nursery and Kindergarten,education,33134,,not_required,,,,,
arte_cucine,ARTE CUCINE,retail,33134,,not_required,,,,,
arteysafe,Arte y Pasión Cafe,food_beverage,33134,food_service,verified_active,SEA2334636,10/01/2026,ARTE Y PASION CAFE MIAMI,95,
artefactocoralgables,Artefacto Coral Gables,retail,33146,,not_required,,,,,
arthur_j_gallagher,Arthur J. Gallagher,insurance,33134,,not_required,,,,,
arthur_murray_coral_gables_dance_studio,Arthur Murray Coral Gables Dance Studio,arts_culture,33133,,not_required,,,,,
arthurmurraydancestudiocoralgables,Arthur Murray Dance Studio Coral Gables,education,33134,,not_required,,,,,
arthur_murray_international_inc,Arthur Murray International Inc.,arts_culture,33134,,not_required,,,,,
artisanbeautystudioandartgallery,Artisan Beauty Studio and Art Gallery,personal_services,33134,,not_required,,,,,
artlabbcoralgables,ArtLabbé Coral Gables,arts_culture,33134,,not_required,,,,,
aryahotelandsuitescoconutgroveworldhotelsdisttive,"Arya Hotel and Suites Coconut Grove, WorldHotels Distinctive",hospitality,33133,,not_required,,,,,
asplumbingheatingcoralgables,AS Plumbing & Heating Coral Gables,construction,33146,construction,unlicensed,,,,,no active DBPR Construction Industry license found in area
asasthetics,AS_Asthetics,healthcare,33134,out_of_scope,out_of_scope,,,,,FL Dept. of Health (not DBPR — check flhealthsource.gov)
ascendant_insurance_solutions_llc,"Ascendant Insurance Solutions, LLC",insurance,33134,,not_required,,,,,
ascension_global_staffing_executive_search,Ascension Global Staffing & Executive Search,consulting,33134,,not_required,,,,,
ascensiondescension,Ascension/Descension,hospitality,33146,,not_required,,,,,
asia_grocery,Asia Grocery,retail,33155,,not_required,,,,,
asiannailsands,Asian Nails and Spa,personal_services,33146,,not_required,,,,,
att,AT&T,accounting,33133,,not_required,,,,,
atkinsengineers,"Atkins Engineers, Inc.",professional_services,33134,,not_required,,,,,
atlanticcrystalsconstruction,Atlantic Crystals Construction,construction,33134,construction,verified_active,CGC020606,08/31/2026,R B S CONSTRUCTION INC,100,
au_advisors,Au Advisors,professional_services,33134,,not_required,,,,,
audi,Audi,retail,33134,,not_required,,,,,
aurora_academy,Aurora Academy,education,33134,,not_required,,,,,
auroramedinafamilydaycarehome,Aurora Medina Family Day Care Home,education,33133,,not_required,,,,,
autonation_chevrolet,AutoNation Chevrolet,retail,33134,,not_required,,,,,
autonationchevroletcoralgables,AutoNation Chevrolet Coral Gables,auto_dealer,33134,,not_required,,,,,
autonationchevroletcoralgablesservicecenter,AutoNation Chevrolet Coral Gables Service Center,auto_dealer,33134,,not_required,,,,,
autozone,AutoZone,retail,33144,,not_required,,,,,
avalonsalon,Avalon Salon,personal_services,33134,,not_required,,,,,
avantgarde_salon_spa,AvantGarde Salon & Spa,personal_services,33134,,not_required,,,,,
avetranifinancialnorthwesternmutual,Avetrani Financial - Northwestern Mutual,financial_services,33134,,not_required,,,,,
avis,Avis,auto_dealer,33155,,not_required,,,,,
avomiami,Avo Miami,food_beverage,33143,food_service,verified_active,SEA2335776,10/01/2026,AVO MIAMI,100,
azucar_nightclub,Azucar Nightclub,arts_culture,33133,,not_required,,,,,
azzendo_wealth_advisors,Azzendo Wealth Advisors,accounting,33134,,not_required,,,,,
brelectronicssupply,B & R Electronics Supply,retail,33176,,not_required,,,,,
bcarchitectsaia,"B C Architects AIA, Inc.",professional_services,33134,,not_required,,,,,
babette,Babette,food_beverage,33134,food_service,verified_active,SEA2333540,10/01/2026,BABETTE AT LA JOLLA,100,
bachour,Bachour,food_beverage,33134,food_service,verified_active,SEA2336186,10/01/2026,BACHOUR,100,
backdoor,Back Door,food_beverage,33134,food_service,unlicensed,,,,,no active DBPR Hotels & Restaurants (food service) license found in area
baires_grill__coral_gables,Baires Grill - Coral Gables,food_beverage,33134,food_service,verified_active,SEA2332620,10/01/2026,BAIRES GRILL,100,
bankofamericawithdrivethruatm,Bank of America (with Drive-thru ATM),banking,33134,,not_required,,,,,
bankofamericafinancialcenter,Bank of America Financial Center,banking,33146,,not_required,,,,,
bankmiami,BankMiami,banking,33143,,not_required,,,,,
bankunited,BankUnited,banking,33133,,not_required,,,,,
banna_fakhoury_pa,"Banna Fakhoury, PA",legal,33143,,not_required,,,,,
banyandayschool,Banyan Day School,education,33134,,not_required,,,,,
baptisthealthbrainspinecarecoralgablesdoctorshospital,Baptist Health Brain & Spine Care | Coral Gables (Doctors Hospital),healthcare,33146,out_of_scope,out_of_scope,,,,,FL Dept. of Health (not DBPR — check flhealthsource.gov)
baptisthealthconciergemedicinecoralgablesbelmontvillage,Baptist Health Concierge Medicine | Coral Gables (Belmont Village),healthcare,33146,out_of_scope,out_of_scope,,,,,FL Dept. of Health (not DBPR — check flhealthsource.gov)
baptisthealthdoctorshospital,Baptist Health Doctors Hospital,healthcare,33146,out_of_scope,out_of_scope,,,,,FL Dept. of Health (not DBPR — check flhealthsource.gov)
baptisthealthdoctorshospitalercoralgables,Baptist Health Doctors Hospital ER | Coral Gables,healthcare,33146,out_of_scope,out_of_scope,,,,,FL Dept. of Health (not DBPR — check flhealthsource.gov)
baptisthealthphysicaltherapyrehabilitationcoralgables,Baptist Health Physical Therapy & Rehabilitation | Coral Gables,healthcare,33146,out_of_scope,out_of_scope,,,,,FL Dept. of Health (not DBPR — check flhealthsource.gov)
baptisthealthprimarycarecoralgablesbelmontvillage,Baptist Health Primary Care | Coral Gables (Belmont Village),healthcare,33146,out_of_scope,out_of_scope,,,,,FL Dept. of Health (not DBPR — check flhealthsource.gov)
baptisthealthsurgerycentercoralgables,Baptist Health Surgery Center | Coral Gables,healthcare,33146,out_of_scope,out_of_scope,,,,,FL Dept. of Health (not DBPR — check flhealthsource.gov)
baptisthealthsurgerycoralgablesdoctorshospital,Baptist Health Surgery | Coral Gables (Doctors Hospital),healthcare,33146,out_of_scope,out_of_scope,,,,,FL Dept. of Health (not DBPR — check flhealthsource.gov)
baptisthealthurgentcarecoralgables,Baptist Health Urgent Care | Coral Gables,healthcare,33134,out_of_scope,out_of_scope,,,,,FL Dept. of Health (not DBPR — check flhealthsource.gov)
baptist_rehabilitation_hospital,Baptist Rehabilitation Hospital,healthcare,33143,out_of_scope,out_of_scope,,,,,FL Dept. of Health (not DBPR — check flhealthsource.gov)
barakatbossa,BARAKAT + BOSSA,legal,33134,,not_required,,,,,
barbell,Barbell,hospitality,33146,,not_required,,,,,
barberstudiomi,Barber Studio M.I,personal_services,33134,,not_required,,,,,
barbynailss,Barby Nails Spa,personal_services,33134,,not_required,,,,,
bardos_caffe,Bardo's Caffe,food_beverage,33134,food_service,unlicensed,,,,,no active DBPR Hotels & Restaurants (food service) license found in area
barnes__noble,Barnes & Noble,retail,33143,,not_required,,,,,
barracuda,Barracuda,food_beverage,33134,food_service,unlicensed,,,,,no active DBPR Hotels & Restaurants (food service) license found in area
barrington_academy,Barrington Academy,education,33143,,not_required,,,,,
bascomlmereyeinstitutethelennarfoundationmedicalcenter,Bascom Palmer Eye Institute The Lennar Foundation Medical Center,healthcare,33146,out_of_scope,out_of_scope,,,,,FL Dept. of Health (not DBPR — check flhealthsource.gov)
basilicoristorantecoralgables,Basilico Ristorante Coral Gables,food_beverage,33134,food_service,verified_active,SEA2337756,10/01/2026,BASILICO CORAL GABLES,100,
batteries__bulbs,Batteries + Bulbs,retail,33143,,not_required,,,,,
bay13breweryandkitchen,Bay 13 Brewery And Kitchen,food_beverage,33134,food_service,verified_active,SEA2336719,10/01/2026,BAY 13 BREWERY AND KITCHEN,100,
bay_plumbing_company,Bay Plumbing Company,construction,33133,construction,verified_active,CFC057007,08/31/2028,BAY PLUMBING COMPANY,100,
bayshore_club_bar__grill,Bayshore Club Bar & Grill,food_beverage,33133,food_service,verified_active,SEA2337318,10/01/2026,BAYSHORE CLUB,100,
bayshorewealthadvisors,Bayshore Wealth Advisors,financial_services,33134,,not_required,,,,,
bayview_pace,Bayview Pace,financial_services,33146,,not_required,,,,,
bewellrisejudisoslandaulmhc,"Be Well & Rise / Judi Pasos Landau, LMHC",healthcare,33134,out_of_scope,out_of_scope,,,,,FL Dept. of Health (not DBPR — check flhealthsource.gov)
bean_automotive_group_lexus_of_kendallkendall_toyota,Bean Automotive Group Lexus of Kendall/Kendall Toyota,auto_dealer,33146,,not_required,,,,,
beatriznavarrogoudieantillesrealty,"Beatriz Navarro Goudie, Antilles Realty",real_estate,33134,real_estate,verified_active,CQ270258,30-SEP-28,M A H B REALTY INC,100,
beauchampconstructionco,Beauchamp Construction Co Inc,construction,33134,construction,verified_active,CGC1506391,08/31/2026,"BEAUCHAMP CONSTRUCTION CO., INC.",100,
beauty__the_butcher,Beauty & The Butcher,food_beverage,33143,food_service,verified_active,SEA2328538,10/01/2026,BEAUTY & THE BUTCHER,100,
beautyatelier,Beauty Atelier,personal_services,33134,,not_required,,,,,
beckercoralgablesfl,"Becker, Coral Gables, FL",legal,33134,,not_required,,,,,
beehive_juice_bar,Beehive Juice Bar,food_beverage,33155,food_service,unlicensed,,,,,no active DBPR Hotels & Restaurants (food service) license found in area
beharfontrtnersrobertbeharjavierfont,"Behar Font & Partners, P.A. - Robert Behar & Javier Font",professional_services,33146,,not_required,,,,,
bellrosquetereyesestebanp,Bell Rosquete Reyes Esteban PLLC,legal,33134,,not_required,,,,,
bellefleur,Belle Fleur,retail,33134,,not_required,,,,,
belleza_femenina,Belleza Femenina,retail,33144,,not_required,,,,,
bellezza,Bellezza,retail,33143,,not_required,,,,,
bello_dental_center,Bello Dental Center,healthcare,33155,out_of_scope,out_of_scope,,,,,FL Dept. of Health (not DBPR — check flhealthsource.gov)
belmont_bank_trust,Belmont Bank & Trust,banking,33134,,not_required,,,,,
belmont_village_senior_living,Belmont Village Senior Living,accounting,33134,,not_required,,,,,
benihana,Benihana,food_beverage,33134,food_service,verified_active,SEA2331164,10/01/2026,BENIHANA,100,
benitez_dental_center,Benitez Dental Center,healthcare,33134,out_of_scope,out_of_scope,,,,,FL Dept. of Health (not DBPR — check flhealthsource.gov)
benjaminlaurelreedmd,"Benjamin Laurel Reed, MD",healthcare,33146,out_of_scope,out_of_scope,,,,,FL Dept. of Health (not DBPR — check flhealthsource.gov)
bennett_capital_partners_mortgage_brokers,Bennett Capital Partners Mortgage Brokers,financial_services,33134,,not_required,,,,,
bercow_radell_fernandez_larkin_and_tapanes_pllc,"Bercow Radell Fernandez Larkin and Tapanes, PLLC.",legal,33146,,not_required,,,,,
berkshire_hathaway_homeservices_ewm_realty,Berkshire Hathaway HomeServices EWM Realty,real_estate,33146,real_estate,unlicensed,,,,,no active DBPR Real Estate Commission (corporations) license found in area
bermello_ajamil_partners_inc,"Bermello, Ajamil & Partners, Inc.",professional_services,33146,,not_required,,,,,
bermontgoldwealthadvisoryofraymondjames,Bermont Gold Wealth Advisory of Raymond James,financial_services,33134,,not_required,,,,,
best_buy,Best Buy,retail,33143,,not_required,,,,,
bestwesternplusmiamiintlairporthotelsuitescoralgables,Best Western Plus Miami Intl Airport Hotel & Suites Coral Gables,hospitality,33134,,not_required,,,,,
betheldaycarecenter,Bethel Day Care Center,education,33134,,not_required,,,,,
better_addiction_care,Better Addiction Care,healthcare,33134,out_of_scope,out_of_scope,,,,,FL Dept. of Health (not DBPR — check flhealthsource.gov)
better_business_bureau_serving_se_florida_the_caribbean,Better Business Bureau Serving SE Florida & the Caribbean,auto_dealer,33143,,not_required,,,,,
beyome,beyome,real_estate,33143,real_estate,unlicensed,,,,,no active DBPR Real Estate Commission (corporations) license found in area
bg_integrative_studio,BG Integrative Studio,arts_culture,33134,,not_required,,,,,
bhoomshanti,Bhoom Shanti,retail,33143,,not_required,,,,,
bid_daddys_wine__liquors,Bid Daddy's Wine & Liquors,retail,33133,,not_required,,,,,
big_diamond_1982,"Big Diamond, 1982",hospitality,33146,,not_required,,,,,
bilingualcooperativepreschool,Bilingual Cooperative Preschool,education,33143,,not_required,,,,,
biltmorehotelmiamicoralgables,Biltmore Hotel Miami Coral Gables,hospitality,33134,,not_required,,,,,
bioenergy_wellness_south_miami,Bioenergy Wellness South Miami,wellness,33134,out_of_scope,out_of_scope,,,,,massage/therapy may need DOH license — verify manually
birdies_bistro,Birdie's Bistro,food_beverage,33134,food_service,verified_active,SEA2338240,10/01/2026,BIRDIE BISTRO,96,
bistrocaf,Bistro Café,food_beverage,33146,food_service,verified_active,SEA2337477,10/01/2026,BISTRO CAFE,100,
bjs_wholesale_club,BJ's Wholesale Club,retail,33155,,not_required,,,,,
blackveatch,Black & Veatch,professional_services,33134,,not_required,,,,,
blankdesignarchitecture,blank design + architecture,professional_services,33134,,not_required,,,,,
blinkchargingstation,Blink Charging Station,construction,33134,construction,unlicensed,,,,,no active DBPR Construction Industry license found in area
blinkingowleyecare,Blinking Owl Eyecare,healthcare,33146,out_of_scope,out_of_scope,,,,,FL Dept. of Health (not DBPR — check flhealthsource.gov)
bliss_beautique,Bliss Beautique,personal_services,33134,,not_required,,,,,
bliss_imprints_gifts,Bliss Imprints & Gifts,retail,33134,,not_required,,,,,
blockadvisors,Block Advisors,accounting,33134,,not_required,,,,,
blondebarberbarbershopcoralgables,Blondebarber Barbershop - Coral Gables,food_beverage,33134,food_service,unlicensed,,,,,no active DBPR Hotels & Restaurants (food service) license found in area
bloomboutique,Bloom Boutique,retail,33134,,not_required,,,,,
bloomsooner,Bloom Sooner,healthcare,33146,out_of_scope,out_of_scope,,,,,FL Dept. of Health (not DBPR — check flhealthsource.gov)
bluedaisymediamediabuyingagencyinmiami,Blue Daisy Media | Media Buying Agency in Miami,marketing,33134,,not_required,,,,,
blue_missions,BLUE Missions,nonprofit,33155,,not_required,,,,,
blueserenityboutique,Blue Serenity Boutique,retail,33134,,not_required,,,,,
blue_sky_food_by_the_pound,Blue Sky Food by the Pound,food_beverage,33155,food_service,unlicensed,,,,,no active DBPR Hotels & Restaurants (food service) license found in area
blueprint_it_consulting_llc,"Blueprint IT Consulting, LLC",consulting,33134,,not_required,,,,,
bndengineers,"BND Engineers, Inc.",professional_services,33134,,not_required,,,,,
bobs_watches,Bob's Watches,retail,33133,,not_required,,,,,
bodegabarcoralgables,Bodega Bar Coral Gables,food_beverage,33134,food_service,verified_active,SEA2337931,10/01/2026,BODEGA TAQUERIA Y TEQUILA,100,
bodega_taqueria_y_tequila,Bodega Taqueria y Tequila,food_beverage,33134,food_service,verified_active,SEA2337931,10/01/2026,BODEGA TAQUERIA Y TEQUILA,100,
bodybrainyogataichi,Body & Brain Yoga Tai Chi,wellness,33134,out_of_scope,out_of_scope,,,,,massage/therapy may need DOH license — verify manually
bodyhotpilates,Body Hot Pilates,wellness,33134,out_of_scope,out_of_scope,,,,,massage/therapy may need DOH license — verify manually
boladoclothiers,Bolado Clothiers,retail,33134,,not_required,,,,,
bolivar__humboldt,Bolivar & Humboldt,hospitality,33146,,not_required,,,,,
bookhorizons,Book Horizons,retail,33146,,not_required,,,,,
books_books_inc,"Books & Books, Inc.",retail,33134,,not_required,,,,,
borbollainsuranceagenciesallstateinsurance,Borbolla Insurance Agencies Inc: Allstate Insurance,insurance,33134,,not_required,,,,,
bosss_hair_salon,Bosss Hair Salon,personal_services,33143,,not_required,,,,,
boston_market,Boston Market,food_beverage,33134,food_service,unlicensed,,,,,no active DBPR Hotels & Restaurants (food service) license found in area
bowesdermatologyisnowofficiallyriverchasedermatologymiami,Bowes Dermatology is now officially Riverchase Dermatology Miami,healthcare,33133,out_of_scope,out_of_scope,,,,,FL Dept. of Health (not DBPR — check flhealthsource.gov)
bp,BP,auto_dealer,33133,,not_required,,,,,
bp_shop,BP Shop,retail,33133,,not_required,,,,,
baccountingservices,BPA Accounting Services Inc,accounting,33134,,not_required,,,,,
braman_honda,Braman Honda,auto_dealer,33155,,not_required,,,,,
brandis,BRANDI'S,food_beverage,33134,food_service,unlicensed,,,,,no active DBPR Hotels & Restaurants (food service) license found in area
breakfreemovement,Break Free Movement,wellness,33146,out_of_scope,out_of_scope,,,,,massage/therapy may need DOH license — verify manually
brijbagbernharddo,Brijbag Bernhard DO,other,33146,,not_required,,,,,
brilliantearth,Brilliant Earth,retail,33133,,not_required,,,,,
brito_miami_private_school,Brito Miami Private School,education,33134,,not_required,,,,,
