business_id,business_name,contact_name,phone,website,address,latitude,longitude,postcode,neighborhood_area,category_primary,category_secondary,price_tier,rating_primary_value,rating_primary_source,rating_primary_review_count,top_delights,top_pain_points,osint_confidence,validation_tier,red_flag_present,red_flag_severity,red_flag_notes,chamber_member,source_file,batch_id,last_reviewed_date,corroboration_sources,corroboration_count,sunbiz_status,sunbiz_name,sunbiz_filing_number,price_tier_source,lat,lon,pkp_edges_summary,pkp_key_signals,pkp_node_type,pkp_picks_shovels_summary,pkp_primary_actions,pkp_primary_risks,pkp_undercurrents_summary,review_count_source
3fmconsulting,3FM CONSULTING,,(305) 767-1120,,,25.7497,-80.2647,33134,Ponce de Leon Corridor,professional_services,Engineer,$$$,4.1,Google (Outscraper),75,,,1.0,High,N,,,N,outscraper,,2026-02-19,google,1,,,,inferred,25.7573492,-80.2590634,Ponce corridor professional cluster,Monitor for rating/review changes,asset,General commercial infrastructure,Prospect for CGCC membership,Standard operational risks,General market conditions; Coral Gables growth trajectory,inferred
4000_ponce_llc_cmc_group,"4000 Ponce, LLC (CMC Group)",Mr. Buddy Dowlen,(305) 372-0550,http://cmcgroupmiami.com/,"1550 Biscayne Blvd #300, Miami, FL 33132",,,,ponce de leon corridor,accounting,,$$,3,Google (SerpApi),76,,,0.60,Moderate,N,,,Y,osint-cgcc-v1,batch_cgcc_osint_01,2026-02-11,cgcc,1,,,,original,,,CGCC member network,Monitor for rating/review changes,asset,General commercial infrastructure,Re-categorize with manual review,Standard operational risks,General market conditions; Coral Gables growth trajectory,inferred
450_gradi,450 Gradi,Mr. Vicenzo Esposito,(786) 391-1276,https://450gradimiami.com/,"130 Miracle Mile, Coral Gables, FL 33134",25.742227,-80.266061,,Coral Gables,food_beverage,,$$,4.8,Google (SerpApi),76,,,0.60,Moderate,N,,,Y,osint-cgcc-v1,batch_cgcc_osint_01,2026-02-11,cgcc,1,,,,original,,,CGCC member network,High rating (4.8) — quality leader,asset,General commercial infrastructure,Re-categorize with manual review,Standard operational risks,General market conditions; Coral Gables growth trajectory,original
450gradimiamiitalianrestaurant,450Gradi Miami Italian Restaurant,,,,,25.742227,-80.266061,,Coral Gables,food_beverage,"Italian, Pizza",$$,4.9,TripAdvisor,7,,,0.70,Moderate,Y,Operational,no_contact_info,N,ta,CG-OSINT-20260212-v4.0,2026-02-12,tripadvisor,1,,,,original,,,Local business network,High rating (4.9) — quality leader,platform,"Sysco, US Foods supply chain; POS systems; delivery platforms",Prospect for CGCC membership,Lease renewal risk; labor cost pressure,Rising rents on Miracle Mile; delivery app commission pressure; labor shortage,original
450gradimiami,450Gradi Miami 🇺🇸,,(786) 391-1276,https://450gradimiami.com/,,25.7497,-80.2647,33134,Miracle Mile,food_beverage,Italian restaurant,$$,4.8,Google (Outscraper),87,,,1.0,High,N,,,N,outscraper,,2026-02-19,google,1,,,,inferred,25.749444,-80.25740499999999,Miracle Mile retail corridor; Miracle Mile dining cluster,High rating (4.8) — quality leader,platform,"Sysco, US Foods supply chain; POS systems; delivery platforms",Prospect for CGCC membership,Lease renewal risk; labor cost pressure,Rising rents on Miracle Mile; delivery app commission pressure; labor shortage,inferred
4kids_of_south_florida,4KIDS of South Florida,Ms. Martha Gonzalez,(305) 951-1779,https://4kids.us,"2717 W Cypress Creek Rd, Fort Lauderdale, FL 33309",25.742227,-80.266061,,Coral Gables,nonprofit,,$$,4.8,Google (SerpApi),35,,,0.60,Moderate,N,,,Y,osint-cgcc-v1,batch_cgcc_osint_01,2026-02-11,cgcc,1,,,,original,,,CGCC member network,High rating (4.8) — quality leader,asset,General commercial infrastructure,Re-categorize with manual review,Standard operational risks,General market conditions; Coral Gables growth trajectory,original
4mg_mortgage_llc,"4MG Mortgage, LLC",Ms. Ashlin Endter,(305) 762-0314,https://4mgmortgage.com,"1501 Venera Ave #230, Miami, FL 33146",25.742227,-80.266061,,Coral Gables,real_estate,,$$,5,Google (SerpApi),56,,,0.60,Moderate,N,,,Y,osint-cgcc-v1,batch_cgcc_osint_01,2026-02-11,cgcc,1,,,,original,,,CGCC member network,High rating (5.0) — quality leader,infrastructure,MLS access; title companies; mortgage originators,Maintain monitoring cadence,Interest rate sensitivity; market cycle exposure,Interest rate sensitivity; luxury condo oversupply; remote work migration,inferred
54dcoralgables,54D Coral Gables,,(786) 817-7008,https://cg.54d.com/,,25.7211,-80.2773,33146,Bird Road Corridor,wellness,Gym,$$,4.6,Google (Outscraper),213,,,1.0,High,N,,,N,outscraper,,2026-02-19,google,1,,,,inferred,25.732798799999998,-80.25874689999999,Bird Road commercial strip,High rating (4.6) — quality leader,platform,Equipment suppliers; certification bodies; insurance panels,Prospect for CGCC membership,Standard operational risks,General market conditions; Coral Gables growth trajectory,inferred
54dsteelcoralgables,54D STEEL Coral Gables,,(786) 817-7008,,,25.7211,-80.2773,33146,Bird Road Corridor,wellness,Gym,$$,5.0,Google (Outscraper),213,,,1.0,High,N,,,N,outscraper,,2026-02-19,google,1,,,,inferred,25.7326917,-80.25885579999999,Bird Road commercial strip,High rating (5.0) — quality leader,platform,Equipment suppliers; certification bodies; insurance panels,Prospect for CGCC membership,Standard operational risks,General market conditions; Coral Gables growth trajectory,inferred
7eleven,7-Eleven,,(305) 443-0500,https://www.7-eleven.com/locations/fl/coral-gables/350-bird-rd-10491,350 Southwest 40th Street,25.7211,-80.2773,33146,Bird Road Corridor,retail,retail/convenience,$$,3.3,Google (SerpApi),36,,,0.60,Moderate,N,,,N,osm,CG-OSINT-20260211-v2.0,2026-02-11,osm,1,,,,original,25.7344709,-80.2609821,Bird Road commercial strip,Monitor for rating/review changes,asset,POS systems; inventory management; commercial lease market,Prospect for CGCC membership,E-commerce disruption; foot traffic dependency,E-commerce pressure; experiential retail shift; tourist foot traffic dependency,inferred
924_bird_rd_coral_gable,924 bird rd coral gable,,,,"Coral Gables, FL 33146",25.7211,-80.2773,33146,Bird Road Corridor,real_estate,real_estate/estate_agent,$$$,,Google (SerpApi),,,,0.60,Low,Y,Operational,no_contact_info; low_confidence_unverified,N,osm,CG-OSINT-20260211-v2.0,2026-02-11,osm,1,,,,original,25.7341429,-80.2720295,Bird Road commercial strip,Low validation confidence — verify status,infrastructure,MLS access; title companies; mortgage originators,Prospect for CGCC membership; Collect rating data via SerpApi enrichment,Interest rate sensitivity; market cycle exposure,Interest rate sensitivity; luxury condo oversupply; remote work migration,
aautotech,A Auto Tech Inc,,(305) 448-4100,http://www.aautotech.com/,,25.7211,-80.2773,33146,Bird Road Corridor,auto_dealer,Auto body shop,$$,4.8,Google (Outscraper),110,,,1.0,High,N,,,N,outscraper,,2026-02-19,google,1,,,,inferred,25.7338563,-80.2566882,Bird Road commercial strip,High rating (4.8) — quality leader,asset,General commercial infrastructure,Prospect for CGCC membership,Standard operational risks,General market conditions; Coral Gables growth trajectory,inferred
agcfirmcoralgablesfl,"A&G - CPA Firm Coral Gables, FL",,(786) 838-7062,http://www.agcpafirm.com/,,25.7497,-80.2647,33134,Coral Gables,accounting,Certified public accountant,$$,4.9,Google (Outscraper),87,,,1.0,High,N,,,N,outscraper,,2026-02-19,"cgcc,google",2,,,,inferred,25.7410259,-80.2772445,Local business network,High rating (4.9) — quality leader,platform,"Sysco, US Foods supply chain; POS systems; delivery platforms",Prospect for CGCC membership,Lease renewal risk; labor cost pressure,Rising rents on Miracle Mile; delivery app commission pressure; labor shortage,inferred
agcfirm,A&G CPA Firm,,(786) 838-7062,http://www.agcpafirm.com/,,,,,Coral Gables,accounting,['Certified public accountant'],$$$,4.9,Web,4,,,1.0,High,N,,,N,non-cgcc-run1,,2026-02-19,"cgcc,google",2,,,,inferred,,,Local business network,High rating (4.9) — quality leader,asset,General commercial infrastructure,Prospect for CGCC membership,Standard operational risks,General market conditions; Coral Gables growth trajectory,inferred
a1undergroundplumbingservices,A1 Underground & Plumbing Services,,(954) 872-0018,https://undergroundplumbers.com,,,,,Coral Gables,construction,residential & commercial,$$,4.8,Web,56,,,1.0,High,N,,,N,non-cgcc-run2,,2026-02-19,cgcc,1,,,,inferred,,,Local business network,High rating (4.8) — quality leader,infrastructure,Permitting (City of CG); material suppliers; labor unions,Prospect for CGCC membership,Standard operational risks,Material cost inflation; permitting delays; workforce housing demand,inferred
a4_graphic_design,A4 Graphic Design,,(786) 397-8359,http://www.a4graphic.com/,"3362 Coral Wy, Miami, FL 33145",25.7497,-80.2647,33134,Coral Gables,construction,craft_services/printer,$$$,4.9,Google (SerpApi),56,,,0.60,Low,Y,Operational,low_confidence_unverified,N,osm,CG-OSINT-20260211-v2.0,2026-02-11,osm,1,,,,original,25.7498709,-80.2489426,Local business network,High rating (4.9) — quality leader; Low validation confidence — verify status,infrastructure,Permitting (City of CG); material suppliers; labor unions,Prospect for CGCC membership,Standard operational risks,Material cost inflation; permitting delays; workforce housing demand,inferred
aaa_insurance,AAA Insurance,,(305) 270-6450,https://locator.acg.aaa.com/fl/miami/aaa-kendall,6643 South Dixie Highway,25.7062,-80.282,33143,Sunset / South Gables,insurance,insurance/insurance,$$$,4.2,Google (SerpApi),12,,,0.60,Low,Y,Operational,low_confidence_unverified,N,osm,CG-OSINT-20260211-v2.0,2026-02-11,osm,1,,,,original,25.6940371,-80.300392,Alhambra financial cluster,Low validation confidence — verify status,infrastructure,General commercial infrastructure,Prospect for CGCC membership,Standard operational risks,Climate risk repricing; Citizens Insurance reform; litigation environment,inferred
aaa_million_auto_parts,AAA Million Auto Parts,,(305) 642-5821,https://www.aaamillion.com/,311 Southwest 22nd Avenue,25.7666,-80.234,33135,Coral Gables,auto_dealer,retail/car_parts,$$,4.5,Google (SerpApi),36,,,0.60,Moderate,N,,,N,osm,CG-OSINT-20260211-v2.0,2026-02-11,osm,1,,,,original,25.7693947,-80.2304611,Local business network,High rating (4.5) — quality leader,asset,POS systems; inventory management; commercial lease market,Prospect for CGCC membership,E-commerce disruption; foot traffic dependency,E-commerce pressure; experiential retail shift; tourist foot traffic dependency,inferred
aapmiami,AAP Miami,,(305) 902-1651,,,25.7497,-80.2647,33134,Miracle Mile,retail,Electronics store,$$,5.0,Google (Outscraper),36,,,1.0,High,N,,,N,outscraper,,2026-02-19,google,1,,,,inferred,25.749936899999998,-80.2629817,Miracle Mile retail corridor,High rating (5.0) — quality leader,asset,POS systems; inventory management; commercial lease market,Prospect for CGCC membership,E-commerce disruption; foot traffic dependency,E-commerce pressure; experiential retail shift; tourist foot traffic dependency,inferred
abadindental,Abadin Dental,,(305) 783-3750,https://abadindental.com,,,,,Coral Gables,healthcare,dentistry,$$$,5.0,Web,52,,,,,N,,,N,non-cgcc-run1,,,cgcc,1,,,,inferred,,,Local business network,High rating (5.0) — quality leader,asset,EMR systems; medical supply distributors; insurance billing networks,Prospect for CGCC membership,Standard operational risks,Telehealth expansion; insurance reimbursement tightening; aging population,inferred
abadindentalinvisalignveneersimplants,Abadin Dental - Invisalign Veneers Implants,,(305) 783-3750,https://www.abadindental.com/,,25.7497,-80.2647,33134,Coral Gables,healthcare,Dentist,$$$,5.0,Google (Outscraper),52,,,1.0,High,N,,,N,outscraper,,2026-02-19,google,1,,,,inferred,25.748019,-80.264949,Local business network,High rating (5.0) — quality leader,asset,EMR systems; medical supply distributors; insurance billing networks,Prospect for CGCC membership,Standard operational risks,Telehealth expansion; insurance reimbursement tightening; aging population,inferred
abascalgroupresidentialcommercialconstruction,"Abascal Group, Inc. Residential + Commercial Construction",,(305) 498-5035,,,25.7211,-80.2773,33146,Bird Road Corridor,construction,Construction company,$$,5.0,Google (Outscraper),56,,,1.0,High,N,,,N,outscraper,,2026-02-19,google,1,,,,inferred,25.733601399999998,-80.2790819,Bird Road commercial strip,High rating (5.0) — quality leader,infrastructure,Permitting (City of CG); material suppliers; labor unions,Prospect for CGCC membership,Standard operational risks,Material cost inflation; permitting delays; workforce housing demand,inferred
abco_mortgage,ABCO Mortgage,Ms. Lourdes Fortun,(305) 784-7000,https://abcomortgage.com,,25.742227,-80.266061,,Coral Gables,real_estate,,$$,,,,,,0.60,Moderate,N,,,Y,osint-cgcc-v1,batch_cgcc_osint_01,2026-02-11,cgcc,1,,,,original,,,CGCC member network,Monitor for rating/review changes,infrastructure,MLS access; title companies; mortgage originators,Collect rating data via SerpApi enrichment,Interest rate sensitivity; market cycle exposure,Interest rate sensitivity; luxury condo oversupply; remote work migration,
abitosaccountantsadvisors,AbitOs Accountants + Advisors,,(305) 774-2945,https://www.abitos.com/,,25.7497,-80.2647,33134,Miracle Mile,accounting,Certified public accountant,$$,3.9,Google (Outscraper),87,,,1.0,High,N,,,N,outscraper,,2026-02-19,google,1,,,,inferred,25.7505737,-80.25971179999999,Miracle Mile retail corridor; Miracle Mile dining cluster,Monitor for rating/review changes,platform,"Sysco, US Foods supply chain; POS systems; delivery platforms",Prospect for CGCC membership,Lease renewal risk; labor cost pressure,Rising rents on Miracle Mile; delivery app commission pressure; labor shortage,inferred
ac_hotel_miami_dadeland,AC Hotel Miami Dadeland,Ms. Maria Maloney,(305) 668-4490,https://marriott.com/miacd,"7695 N Kendall Dr, Miami, FL 33156",25.742227,-80.266061,,Coral Gables,hospitality,,$$,4.4,Google (SerpApi),257,,,0.60,Moderate,N,,,Y,osint-cgcc-v1,batch_cgcc_osint_01,2026-02-11,cgcc,1,,,,original,,,CGCC member network,Monitor for rating/review changes,platform,"OTAs (Booking, Expedia); food distributors; linen services",Maintain monitoring cadence,Standard operational risks,Short-term rental regulation; international tourism recovery; labor costs,inferred
academy_for_community_education,Academy for Community Education,,,http://ace.dadeschools.net/,,25.7497,-80.2647,33134,Ponce de Leon Corridor,education,education/school,$$,,,,,,0.60,Low,Y,Operational,no_contact_info; low_confidence_unverified,N,osm,CG-OSINT-20260211-v2.0,2026-02-11,osm,1,,,,original,25.7566667,-80.2569444,Ponce corridor professional cluster,Low validation confidence — verify status,infrastructure,Accreditation bodies; EdTech platforms; textbook supply,Prospect for CGCC membership; Collect rating data via SerpApi enrichment,Standard operational risks,General market conditions; Coral Gables growth trajectory,
academy_of_arts_and_minds_school,Academy of Arts and Minds School,,,,,25.7497,-80.2647,33134,Douglas Road Corridor,education,education/school,$$,,,,,,0.60,Low,Y,Operational,no_contact_info; low_confidence_unverified,N,osm,CG-OSINT-20260211-v2.0,2026-02-11,osm,1,,,,original,25.7270884,-80.2444512,Douglas Road transit corridor,Low validation confidence — verify status,infrastructure,Accreditation bodies; EdTech platforms; textbook supply,Prospect for CGCC membership; Collect rating data via SerpApi enrichment,Standard operational risks,General market conditions; Coral Gables growth trajectory,
accounting_to_scale,Accounting to Scale,Mr. Daniel Gonzalez,(305) 503-2814,https://accountingtoscale.com,"8055 Coral Wy, Miami, FL 33155",25.742227,-80.266061,,Coral Gables,accounting,Accounting & Tax Services,$$,5,Google (SerpApi),4,,,0.60,Moderate,Y,Operational,suspicious_perfect_rating,Y,osint-cgcc-v1,batch_cgcc_osint_01,2026-02-11,cgcc,1,,,,original,,,CGCC member network,High rating (5.0) — quality leader,asset,General commercial infrastructure,Maintain monitoring cadence,Standard operational risks,General market conditions; Coral Gables growth trajectory,inferred
accountorcaccountingbookkeepingandtaxexperts,Accountor CPA Accounting Bookkeeping and Tax Experts,,(888) 437-9540,,,25.7497,-80.2647,33134,Coral Gables,accounting,Bookkeeping service,$$,5.0,Google (Outscraper),56,,,0.95,High,N,,,N,outscraper,,2026-02-19,google,1,,,,inferred,25.7441852,-80.2602817,Local business network,High rating (5.0) — quality leader,asset,General commercial infrastructure,Prospect for CGCC membership; Re-categorize with manual review,Standard operational risks,General market conditions; Coral Gables growth trajectory,inferred
ace_hardware,Ace Hardware,,(305) 284-1123,http://www.acehardware.com/store-details/15975?utm_source=google&utm_medium=local&utm_campaign=localmaps&utm_content=15975,5749 Southwest 40th Street,25.7077,-80.3093,33155,Bird Road Corridor,retail,retail/doityourself,$$,4.3,Google (SerpApi),36,,,0.60,Moderate,N,,,N,osm,CG-OSINT-20260211-v2.0,2026-02-11,osm,1,,,,original,25.7348864,-80.2875838,Bird Road commercial strip,Monitor for rating/review changes,asset,POS systems; inventory management; commercial lease market,Prospect for CGCC membership,E-commerce disruption; foot traffic dependency,E-commerce pressure; experiential retail shift; tourist foot traffic dependency,inferred
acentria,Acentria,Ms. Natalie Ruiz,(904) 465-0227,https://acentria.com,,25.742227,-80.266061,,Coral Gables,financial_services,Financial Services,$$,,,,,,0.60,Moderate,N,,,Y,osint-cgcc-v1,batch_cgcc_osint_01,2026-02-11,cgcc,1,,,,original,,,CGCC member network; Alhambra financial cluster,Monitor for rating/review changes,infrastructure,General commercial infrastructure,Collect rating data via SerpApi enrichment,Standard operational risks,General market conditions; Coral Gables growth trajectory,
actioncoach_team_sage,ActionCOACH Team Sage,Ms. Jody Johnson,(305) 285-9264,https://actioncoachteamsage.com,"2544 Swanson Ave, Coconut Grove, FL 33133",25.742227,-80.266061,,Coral Gables,consulting,Coaches & Trainers / Business Development & Leadership,$$,4.7,Google (SerpApi),46,,,0.60,Moderate,N,,,Y,osint-cgcc-v1,batch_cgcc_osint_01,2026-02-11,cgcc,1,,,,original,,,CGCC member network,High rating (4.7) — quality leader,asset,General commercial infrastructure,Re-categorize with manual review,Standard operational risks,General market conditions; Coral Gables growth trajectory,inferred
activate_swag,Activate Swag,Mr. Patrick Lowenthal,(800) 214-3408,https://activateswag.com,"4302 SW 73rd Ave Suite 2, Miami, FL 33155",25.742227,-80.266061,,Coral Gables,marketing,Advertising / Marketing / Graphic Design,$$,4.6,Google (SerpApi),56,,,0.60,Moderate,N,,,Y,osint-cgcc-v1,batch_cgcc_osint_01,2026-02-11,cgcc,1,,,,original,,,CGCC member network,High rating (4.6) — quality leader,platform,General commercial infrastructure,Maintain monitoring cadence,Standard operational risks,General market conditions; Coral Gables growth trajectory,inferred
