business_id,business_name,contact_name,phone,website,address,lat,lon,postcode,neighborhood_area,category_primary,category_secondary,price_tier,rating_primary_value,rating_primary_source,rating_primary_review_count,top_delights,top_pain_points,osint_confidence,validation_tier,red_flag_present,red_flag_severity,red_flag_notes,chamber_member,source_file,batch_id,last_reviewed_date,pkp_node_type,pkp_edges_summary,pkp_picks_shovels_summary,pkp_undercurrents_summary,pkp_key_signals,pkp_primary_risks,pkp_primary_actions,corroboration_sources,corroboration_count,price_tier_source,latitude,longitude,review_count_source
3_chefs_and_a_chicken,3 Chefs and a Chicken,,(786) 953-4811,https://3chefsandachicken.com/3chefsandachicken-xso1yr?utm_source=google,6601 Southwest 57th Avenue,25.7073215,-80.2852399,33146,Sunset / South Gables,food_beverage,food_beverage/fast_food,$$,4.3,Google (SerpApi),87,,,0.60,Low,Y,Operational,low_confidence_unverified,N,osm,CG-OSINT-20260211-v2.0,2026-02-11,platform,Local business network,"Sysco, US Foods supply chain; POS systems; delivery platforms",Rising rents on Miracle Mile; delivery app commission pressure; labor shortage,Low validation confidence — verify status,Lease renewal risk; labor cost pressure,Prospect for CGCC membership,osm,1,original,25.7211,-80.2773,inferred
300engineeringgroup,"300 Engineering Group, P.A.",,(305) 763-9829,,,25.7513418,-80.2590994,33146,Ponce de Leon Corridor,professional_services,Engineering consultant,$$$,5.0,Google (Outscraper),75,,,1.0,High,N,,,N,outscraper,,2026-02-19,asset,Ponce corridor professional cluster,General commercial infrastructure,General market conditions; Coral Gables growth trajectory,High rating (5.0) — quality leader,Standard operational risks,Prospect for CGCC membership,google,1,inferred,25.7211,-80.2773,inferred
305_drive_inc_limousine_service,"305 Drive Inc., Limousine Service",Mr. Branimir Stanimirovic,(305) 310-9357,https://305drive.com,"1100 S Miami Ave, Miami, FL 33130",,,,Coral Gables,accounting,Accounting Department,$$$,4.9,Google (SerpApi),4,,,0.60,Moderate,N,,,Y,osint-cgcc-v1,batch_cgcc_osint_01,2026-02-11,asset,CGCC member network,General commercial infrastructure,General market conditions; Coral Gables growth trajectory,High rating (4.9) — quality leader,Standard operational risks,Maintain monitoring cadence,cgcc,1,original,,,inferred
305_hive_media,305 Hive(R) Media,Ms. Samantha Murphy,(305) 907-7071,https://305hive.com,,,,,Coral Gables,marketing,,$$,,,,,,0.60,Moderate,N,,,Y,osint-cgcc-v1,batch_cgcc_osint_01,2026-02-11,platform,CGCC member network,General commercial infrastructure,General market conditions; Coral Gables growth trajectory,Monitor for rating/review changes,Standard operational risks,Collect rating data via SerpApi enrichment,cgcc,1,original,,,
305_peruvian_modern_cuisine,305 Peruvian Modern Cuisine,,(786) 409-7144,https://305peruvian.com/?utm_source=google,"261 SW 8th St, Miami, FL 33130, United States",25.7498154,-80.2494716,33134,Coral Gables,food_beverage,food_beverage/restaurant,$$,4.8,Google (SerpApi),87,,,0.60,Low,Y,Operational,low_confidence_unverified,N,osm,CG-OSINT-20260211-v2.0,2026-02-11,platform,Local business network,"Sysco, US Foods supply chain; POS systems; delivery platforms",Rising rents on Miracle Mile; delivery app commission pressure; labor shortage,High rating (4.8) — quality leader; Low validation confidence — verify status,Lease renewal risk; labor cost pressure,Prospect for CGCC membership,osm,1,original,25.7497,-80.2647,inferred
305_pink_pack,305 Pink Pack,Ms. Rosemary Carrera,(305) 859-1224,https://305pinkpack.org,,,,,Coral Gables,other,,$$,5,Google (SerpApi),76,,,0.60,Moderate,Y,Critical,multiple_issues(2),Y,osint-cgcc-v1,batch_cgcc_osint_01,2026-02-11,asset,CGCC member network,General commercial infrastructure,General market conditions; Coral Gables growth trajectory,High rating (5.0) — quality leader,Standard operational risks,Re-categorize with manual review,cgcc,1,original,,,inferred
305_senior,305 Senior,Ms. Viviana Laboy,(786) 326-0656,http://www.palacecoralgables.com/,"1 Andalusia Ave, Coral Gables, FL 33134",,,,Coral Gables,accounting,Accounting Department,$$$,4.9,Google (SerpApi),4,,,0.55,Moderate,N,,,Y,osint-cgcc-v1,batch_cgcc_osint_01,2026-02-11,asset,CGCC member network,General commercial infrastructure,General market conditions; Coral Gables growth trajectory,High rating (4.9) — quality leader,Standard operational risks,Maintain monitoring cadence,cgcc,1,original,,,inferred
3fmconsulting,3FM CONSULTING,,(305) 767-1120,,,25.7573492,-80.2590634,33134,Ponce de Leon Corridor,professional_services,Engineer,$$$,4.1,Google (Outscraper),75,,,1.0,High,N,,,N,outscraper,,2026-02-19,asset,Ponce corridor professional cluster,General commercial infrastructure,General market conditions; Coral Gables growth trajectory,Monitor for rating/review changes,Standard operational risks,Prospect for CGCC membership,google,1,inferred,25.7497,-80.2647,inferred
4000_ponce_llc_cmc_group,"4000 Ponce, LLC (CMC Group)",Mr. Buddy Dowlen,(305) 372-0550,https://4000ponce.com,"1550 Biscayne Blvd #300, Miami, FL 33132",,,,ponce de leon corridor,other,,$$,3,Google (SerpApi),76,,,0.60,Moderate,N,,,Y,osint-cgcc-v1,batch_cgcc_osint_01,2026-02-11,asset,CGCC member network,General commercial infrastructure,General market conditions; Coral Gables growth trajectory,Monitor for rating/review changes,Standard operational risks,Re-categorize with manual review,cgcc,1,original,,,inferred
450_gradi,450 Gradi,Mr. Vicenzo Esposito,(786) 391-1276,https://450gradipizzerias.com,"130 Miracle Mile, Coral Gables, FL 33134",,,,Coral Gables,food_beverage,,$$,4.8,Google (SerpApi),76,,,0.60,Moderate,N,,,Y,osint-cgcc-v1,batch_cgcc_osint_01,2026-02-11,asset,CGCC member network,General commercial infrastructure,General market conditions; Coral Gables growth trajectory,High rating (4.8) — quality leader,Standard operational risks,Re-categorize with manual review,cgcc,1,original,,,original
450gradimiamiitalianrestaurant,450Gradi Miami Italian Restaurant,,,,,,,,Coral Gables,food_beverage,"Italian, Pizza",$$,4.9,TripAdvisor,7,,,0.70,Moderate,Y,Operational,no_contact_info,N,ta,CG-OSINT-20260212-v4.0,2026-02-12,platform,Local business network,"Sysco, US Foods supply chain; POS systems; delivery platforms",Rising rents on Miracle Mile; delivery app commission pressure; labor shortage,High rating (4.9) — quality leader,Lease renewal risk; labor cost pressure,Prospect for CGCC membership,tripadvisor,1,original,,,original
450gradimiami,450Gradi Miami 🇺🇸,,(786) 391-1276,,,25.749444,-80.25740499999999,33134,Miracle Mile,food_beverage,Italian restaurant,$$,4.8,Google (Outscraper),87,,,1.0,High,N,,,N,outscraper,,2026-02-19,platform,Miracle Mile retail corridor; Miracle Mile dining cluster,"Sysco, US Foods supply chain; POS systems; delivery platforms",Rising rents on Miracle Mile; delivery app commission pressure; labor shortage,High rating (4.8) — quality leader,Lease renewal risk; labor cost pressure,Prospect for CGCC membership,google,1,inferred,25.7497,-80.2647,inferred
4kids_of_south_florida,4KIDS of South Florida,Ms. Martha Gonzalez,(305) 951-1779,https://4kids.us,"2717 W Cypress Creek Rd, Fort Lauderdale, FL 33309",,,,Coral Gables,nonprofit,,$$,4.8,Google (SerpApi),35,,,0.60,Moderate,N,,,Y,osint-cgcc-v1,batch_cgcc_osint_01,2026-02-11,asset,CGCC member network,General commercial infrastructure,General market conditions; Coral Gables growth trajectory,High rating (4.8) — quality leader,Standard operational risks,Re-categorize with manual review,cgcc,1,original,,,original
4mg_mortgage_llc,"4MG Mortgage, LLC",Ms. Ashlin Endter,(305) 762-0314,https://4mgmortgage.com,"1501 Venera Ave #230, Miami, FL 33146",,,,Coral Gables,real_estate,,$$,5,Google (SerpApi),56,,,0.60,Moderate,N,,,Y,osint-cgcc-v1,batch_cgcc_osint_01,2026-02-11,infrastructure,CGCC member network,MLS access; title companies; mortgage originators,Interest rate sensitivity; luxury condo oversupply; remote work migration,High rating (5.0) — quality leader,Interest rate sensitivity; market cycle exposure,Maintain monitoring cadence,cgcc,1,original,,,inferred
54dcoralgables,54D Coral Gables,,(786) 817-7008,,,25.732798799999998,-80.25874689999999,33146,Bird Road Corridor,wellness,Gym,$$,4.6,Google (Outscraper),213,,,1.0,High,N,,,N,outscraper,,2026-02-19,platform,Bird Road commercial strip,Equipment suppliers; certification bodies; insurance panels,General market conditions; Coral Gables growth trajectory,High rating (4.6) — quality leader,Standard operational risks,Prospect for CGCC membership,google,1,inferred,25.7211,-80.2773,inferred
54dsteelcoralgables,54D STEEL Coral Gables,,(786) 817-7008,,,25.7326917,-80.25885579999999,33146,Bird Road Corridor,wellness,Gym,$$,5.0,Google (Outscraper),213,,,1.0,High,N,,,N,outscraper,,2026-02-19,platform,Bird Road commercial strip,Equipment suppliers; certification bodies; insurance panels,General market conditions; Coral Gables growth trajectory,High rating (5.0) — quality leader,Standard operational risks,Prospect for CGCC membership,google,1,inferred,25.7211,-80.2773,inferred
7eleven,7-Eleven,,(305) 443-0500,https://www.7-eleven.com/locations/fl/coral-gables/350-bird-rd-10491,350 Southwest 40th Street,25.7344709,-80.2609821,33146,Bird Road Corridor,retail,retail/convenience,$$,3.3,Google (SerpApi),36,,,0.60,Moderate,N,,,N,osm,CG-OSINT-20260211-v2.0,2026-02-11,asset,Bird Road commercial strip,POS systems; inventory management; commercial lease market,E-commerce pressure; experiential retail shift; tourist foot traffic dependency,Monitor for rating/review changes,E-commerce disruption; foot traffic dependency,Prospect for CGCC membership,osm,1,original,25.7211,-80.2773,inferred
924_bird_rd_coral_gable,924 bird rd coral gable,,,,"Coral Gables, FL 33146",25.7341429,-80.2720295,33146,Bird Road Corridor,real_estate,real_estate/estate_agent,$$$,,Google (SerpApi),,,,0.60,Low,Y,Operational,no_contact_info; low_confidence_unverified,N,osm,CG-OSINT-20260211-v2.0,2026-02-11,infrastructure,Bird Road commercial strip,MLS access; title companies; mortgage originators,Interest rate sensitivity; luxury condo oversupply; remote work migration,Low validation confidence — verify status,Interest rate sensitivity; market cycle exposure,Prospect for CGCC membership; Collect rating data via SerpApi enrichment,osm,1,original,25.7211,-80.2773,
aautotech,A Auto Tech Inc,,(305) 448-4100,,,25.7338563,-80.2566882,33146,Bird Road Corridor,auto_dealer,Auto body shop,$$,4.8,Google (Outscraper),110,,,1.0,High,N,,,N,outscraper,,2026-02-19,asset,Bird Road commercial strip,General commercial infrastructure,General market conditions; Coral Gables growth trajectory,High rating (4.8) — quality leader,Standard operational risks,Prospect for CGCC membership,google,1,inferred,25.7211,-80.2773,inferred
agcfirmcoralgablesfl,"A&G - CPA Firm Coral Gables, FL",,(786) 838-7062,,,25.7410259,-80.2772445,33134,Coral Gables,food_beverage,Certified public accountant,$$,4.9,Google (Outscraper),87,,,1.0,High,N,,,N,outscraper,,2026-02-19,platform,Local business network,"Sysco, US Foods supply chain; POS systems; delivery platforms",Rising rents on Miracle Mile; delivery app commission pressure; labor shortage,High rating (4.9) — quality leader,Lease renewal risk; labor cost pressure,Prospect for CGCC membership,"cgcc,google",2,inferred,25.7497,-80.2647,inferred
agcfirm,A&G CPA Firm,,(786) 838-7062,http://www.agcpafirm.com/,,,,,,accounting,['Certified public accountant'],$$$,4.9,Web,4,,,1.0,High,N,,,N,non-cgcc-run1,,2026-02-19,asset,Local business network,General commercial infrastructure,General market conditions; Coral Gables growth trajectory,High rating (4.9) — quality leader,Standard operational risks,Prospect for CGCC membership,"cgcc,google",2,inferred,,,inferred
a1undergroundplumbingservices,A1 Underground & Plumbing Services,,(954) 872-0018,https://undergroundplumbers.com,,,,,,construction,residential & commercial,$$,4.8,Web,56,,,1.0,High,N,,,N,non-cgcc-run2,,2026-02-19,infrastructure,Local business network,Permitting (City of CG); material suppliers; labor unions,Material cost inflation; permitting delays; workforce housing demand,High rating (4.8) — quality leader,Standard operational risks,Prospect for CGCC membership,cgcc,1,inferred,,,inferred
a4_graphic_design,A4 Graphic Design,,(786) 397-8359,http://www.a4graphic.com/,"3362 Coral Wy, Miami, FL 33145",25.7498709,-80.2489426,33134,Coral Gables,construction,craft_services/printer,$$$,4.9,Google (SerpApi),56,,,0.60,Low,Y,Operational,low_confidence_unverified,N,osm,CG-OSINT-20260211-v2.0,2026-02-11,infrastructure,Local business network,Permitting (City of CG); material suppliers; labor unions,Material cost inflation; permitting delays; workforce housing demand,High rating (4.9) — quality leader; Low validation confidence — verify status,Standard operational risks,Prospect for CGCC membership,osm,1,original,25.7497,-80.2647,inferred
aaa_insurance,AAA Insurance,,(305) 270-6450,https://locator.acg.aaa.com/fl/miami/aaa-kendall,6643 South Dixie Highway,25.6940371,-80.300392,33143,Sunset / South Gables,insurance,insurance/insurance,$$$,4.2,Google (SerpApi),12,,,0.60,Low,Y,Operational,low_confidence_unverified,N,osm,CG-OSINT-20260211-v2.0,2026-02-11,infrastructure,Alhambra financial cluster,General commercial infrastructure,Climate risk repricing; Citizens Insurance reform; litigation environment,Low validation confidence — verify status,Standard operational risks,Prospect for CGCC membership,osm,1,original,25.7062,-80.282,inferred
aaa_million_auto_parts,AAA Million Auto Parts,,(305) 642-5821,https://www.aaamillion.com/,311 Southwest 22nd Avenue,25.7693947,-80.2304611,33135,Coral Gables,retail,retail/car_parts,$$,4.5,Google (SerpApi),36,,,0.60,Moderate,N,,,N,osm,CG-OSINT-20260211-v2.0,2026-02-11,asset,Local business network,POS systems; inventory management; commercial lease market,E-commerce pressure; experiential retail shift; tourist foot traffic dependency,High rating (4.5) — quality leader,E-commerce disruption; foot traffic dependency,Prospect for CGCC membership,osm,1,original,25.7666,-80.234,inferred
aapmiami,AAP Miami,,(305) 902-1651,,,25.749936899999998,-80.2629817,33134,Miracle Mile,retail,Electronics store,$$,5.0,Google (Outscraper),36,,,1.0,High,N,,,N,outscraper,,2026-02-19,asset,Miracle Mile retail corridor,POS systems; inventory management; commercial lease market,E-commerce pressure; experiential retail shift; tourist foot traffic dependency,High rating (5.0) — quality leader,E-commerce disruption; foot traffic dependency,Prospect for CGCC membership,google,1,inferred,25.7497,-80.2647,inferred
abadindental,Abadin Dental,,(305) 783-3750,https://abadindental.com,,,,,,healthcare,dentistry,$$$,5.0,Web,52,,,,,N,,,N,non-cgcc-run1,,,asset,Local business network,EMR systems; medical supply distributors; insurance billing networks,Telehealth expansion; insurance reimbursement tightening; aging population,High rating (5.0) — quality leader,Standard operational risks,Prospect for CGCC membership,cgcc,1,inferred,,,inferred
abadindentalinvisalignveneersimplants,Abadin Dental - Invisalign Veneers Implants,,(305) 783-3750,,,25.748019,-80.264949,33134,Coral Gables,healthcare,Dentist,$$$,5.0,Google (Outscraper),52,,,1.0,High,N,,,N,outscraper,,2026-02-19,asset,Local business network,EMR systems; medical supply distributors; insurance billing networks,Telehealth expansion; insurance reimbursement tightening; aging population,High rating (5.0) — quality leader,Standard operational risks,Prospect for CGCC membership,google,1,inferred,25.7497,-80.2647,inferred
abascalgroupresidentialcommercialconstruction,"Abascal Group, Inc. Residential + Commercial Construction",,(305) 498-5035,,,25.733601399999998,-80.2790819,33146,Bird Road Corridor,construction,Construction company,$$,5.0,Google (Outscraper),56,,,1.0,High,N,,,N,outscraper,,2026-02-19,infrastructure,Bird Road commercial strip,Permitting (City of CG); material suppliers; labor unions,Material cost inflation; permitting delays; workforce housing demand,High rating (5.0) — quality leader,Standard operational risks,Prospect for CGCC membership,google,1,inferred,25.7211,-80.2773,inferred
abco_mortgage,ABCO Mortgage,Ms. Lourdes Fortun,(305) 784-7000,https://abcomortgage.com,,,,,Coral Gables,real_estate,,$$,,,,,,0.60,Moderate,N,,,Y,osint-cgcc-v1,batch_cgcc_osint_01,2026-02-11,infrastructure,CGCC member network,MLS access; title companies; mortgage originators,Interest rate sensitivity; luxury condo oversupply; remote work migration,Monitor for rating/review changes,Interest rate sensitivity; market cycle exposure,Collect rating data via SerpApi enrichment,cgcc,1,original,,,
abitosaccountantsadvisors,AbitOs Accountants + Advisors,,(305) 774-2945,,,25.7505737,-80.25971179999999,33134,Miracle Mile,food_beverage,Certified public accountant,$$,3.9,Google (Outscraper),87,,,1.0,High,N,,,N,outscraper,,2026-02-19,platform,Miracle Mile retail corridor; Miracle Mile dining cluster,"Sysco, US Foods supply chain; POS systems; delivery platforms",Rising rents on Miracle Mile; delivery app commission pressure; labor shortage,Monitor for rating/review changes,Lease renewal risk; labor cost pressure,Prospect for CGCC membership,google,1,inferred,25.7497,-80.2647,inferred
ac_hotel_miami_dadeland,AC Hotel Miami Dadeland,Ms. Maria Maloney,(305) 668-4490,https://marriott.com/miacd,"7695 N Kendall Dr, Miami, FL 33156",,,,Coral Gables,hospitality,,$$,4.4,Google (SerpApi),257,,,0.60,Moderate,N,,,Y,osint-cgcc-v1,batch_cgcc_osint_01,2026-02-11,platform,CGCC member network,"OTAs (Booking, Expedia); food distributors; linen services",Short-term rental regulation; international tourism recovery; labor costs,Monitor for rating/review changes,Standard operational risks,Maintain monitoring cadence,cgcc,1,original,,,inferred
academy_for_community_education,Academy for Community Education,,,,,25.7566667,-80.2569444,33134,Ponce de Leon Corridor,education,education/school,$$,,,,,,0.60,Low,Y,Operational,no_contact_info; low_confidence_unverified,N,osm,CG-OSINT-20260211-v2.0,2026-02-11,infrastructure,Ponce corridor professional cluster,Accreditation bodies; EdTech platforms; textbook supply,General market conditions; Coral Gables growth trajectory,Low validation confidence — verify status,Standard operational risks,Prospect for CGCC membership; Collect rating data via SerpApi enrichment,osm,1,original,25.7497,-80.2647,
academy_of_arts_and_minds_school,Academy of Arts and Minds School,,,,,25.7270884,-80.2444512,33134,Douglas Road Corridor,education,education/school,$$,,,,,,0.60,Low,Y,Operational,no_contact_info; low_confidence_unverified,N,osm,CG-OSINT-20260211-v2.0,2026-02-11,infrastructure,Douglas Road transit corridor,Accreditation bodies; EdTech platforms; textbook supply,General market conditions; Coral Gables growth trajectory,Low validation confidence — verify status,Standard operational risks,Prospect for CGCC membership; Collect rating data via SerpApi enrichment,osm,1,original,25.7497,-80.2647,
accounting_to_scale,Accounting to Scale,Mr. Daniel Gonzalez,(305) 503-2814,https://accountingtoscale.com,"8055 Coral Wy, Miami, FL 33155",,,,Coral Gables,accounting,Accounting & Tax Services,$$,5,Google (SerpApi),4,,,0.60,Moderate,Y,Operational,suspicious_perfect_rating,Y,osint-cgcc-v1,batch_cgcc_osint_01,2026-02-11,asset,CGCC member network,General commercial infrastructure,General market conditions; Coral Gables growth trajectory,High rating (5.0) — quality leader,Standard operational risks,Maintain monitoring cadence,cgcc,1,original,,,inferred
accountorcaccountingbookkeepingandtaxexperts,Accountor CPA Accounting Bookkeeping and Tax Experts,,(888) 437-9540,,,25.7441852,-80.2602817,33134,Coral Gables,financial_services,Bookkeeping service,$$,5.0,Google (Outscraper),56,,,0.95,High,N,,,N,outscraper,,2026-02-19,asset,Local business network,General commercial infrastructure,General market conditions; Coral Gables growth trajectory,High rating (5.0) — quality leader,Standard operational risks,Prospect for CGCC membership; Re-categorize with manual review,google,1,inferred,25.7497,-80.2647,inferred
ace_hardware,Ace Hardware,,(305) 284-1123,http://www.acehardware.com/store-details/15975?utm_source=google&utm_medium=local&utm_campaign=localmaps&utm_content=15975,5749 Southwest 40th Street,25.7348864,-80.2875838,33155,Bird Road Corridor,retail,retail/doityourself,$$,4.3,Google (SerpApi),36,,,0.60,Moderate,N,,,N,osm,CG-OSINT-20260211-v2.0,2026-02-11,asset,Bird Road commercial strip,POS systems; inventory management; commercial lease market,E-commerce pressure; experiential retail shift; tourist foot traffic dependency,Monitor for rating/review changes,E-commerce disruption; foot traffic dependency,Prospect for CGCC membership,osm,1,original,25.7077,-80.3093,inferred
acentria,Acentria,Ms. Natalie Ruiz,(904) 465-0227,https://acentria.com,,,,,Coral Gables,financial_services,Financial Services,$$,,,,,,0.60,Moderate,N,,,Y,osint-cgcc-v1,batch_cgcc_osint_01,2026-02-11,infrastructure,CGCC member network; Alhambra financial cluster,General commercial infrastructure,General market conditions; Coral Gables growth trajectory,Monitor for rating/review changes,Standard operational risks,Collect rating data via SerpApi enrichment,cgcc,1,original,,,
actioncoach_team_sage,ActionCOACH Team Sage,Ms. Jody Johnson,(305) 285-9264,https://actioncoachteamsage.com,"2544 Swanson Ave, Coconut Grove, FL 33133",,,,Coral Gables,consulting,Coaches & Trainers / Business Development & Leadership,$$,4.7,Google (SerpApi),46,,,0.60,Moderate,N,,,Y,osint-cgcc-v1,batch_cgcc_osint_01,2026-02-11,asset,CGCC member network,General commercial infrastructure,General market conditions; Coral Gables growth trajectory,High rating (4.7) — quality leader,Standard operational risks,Re-categorize with manual review,cgcc,1,original,,,inferred
activate_swag,Activate Swag,Mr. Patrick Lowenthal,(800) 214-3408,https://activateswag.com,"4302 SW 73rd Ave Suite 2, Miami, FL 33155",,,,Coral Gables,marketing,Advertising / Marketing / Graphic Design,$$,4.6,Google (SerpApi),56,,,0.60,Moderate,N,,,Y,osint-cgcc-v1,batch_cgcc_osint_01,2026-02-11,platform,CGCC member network,General commercial infrastructure,General market conditions; Coral Gables growth trajectory,High rating (4.6) — quality leader,Standard operational risks,Maintain monitoring cadence,cgcc,1,original,,,inferred
actors_playhouse_at_the_miracle_theatre,Actors' Playhouse at the Miracle Theatre,Ms. Barbara Stein,(305) 444-9293,https://actorsplayhouse.org,280 Miracle Mile,25.7492488,-80.260328,33134,miracle mile,accounting,Accounting Department,$$$,4.7,Google (SerpApi),4,,,0.60,Moderate,N,,,Y,osint-cgcc-v1,batch_cgcc_osint_01,2026-02-11,asset,CGCC member network,General commercial infrastructure,General market conditions; Coral Gables growth trajectory,High rating (4.7) — quality leader,Standard operational risks,Maintain monitoring cadence,cgcc,1,original,25.7497,-80.2647,inferred
actually_organized,Actually Organized,Ms. Wendy Jacobs Barcelo,(917) 863-7530,https://actuallyorganized.net,,,,,Coral Gables,personal_services,,$$,5,Google (SerpApi),76,,,0.60,Moderate,Y,Critical,multiple_issues(2),Y,osint-cgcc-v1,batch_cgcc_osint_01,2026-02-11,asset,CGCC member network,General commercial infrastructure,General market conditions; Coral Gables growth trajectory,High rating (5.0) — quality leader,Standard operational risks,Re-categorize with manual review,cgcc,1,original,,,original
