business_id,business_name,old_category_primary,old_classified_as,new_category
sabor_tropical_supermarket,Sabor Tropical Supermarket,retail,retail,food_beverage
salty_donut,Salty Donut,retail,retail,food_beverage
sartori_amici_my_grooms_room,Sartori Amici / My Grooms Room,other,other,food_beverage
scullyscully,Scully & Scully,other,other,retail
seatmastersupholstery,Seat Masters Upholstery,other,other,retail
sir_speedy,Sir Speedy,other,other,personal_services
sobiefabrics,Sobie Fabrics,other,other,retail
scebody,spacebody,other,other,healthcare
sra_martinez,Sra. Martinez,other,other,food_beverage
stantonoptical,Stanton Optical,other,other,healthcare
stifel,Stifel,other,other,financial_services
sunglasshut,Sunglass Hut,other,other,retail
susannatamkinsod,"Susanna Tamkins, OD",other,other,healthcare
talavera_cocina_mexicana,Talavera Cocina Mexicana,other,other,food_beverage
the_allen_morris_company,The Allen Morris Company,other,other,real_estate
the_calta_group,The Calta Group,other,other,real_estate
thecutvipbarberlounge,The Cut - Vip Barber Lounge,food_beverage,food_beverage,personal_services
the_irving_korach_architecture_gallery,The Irving Korach Architecture Gallery,hospitality,hospitality,arts_culture
tireskingofmiami2,Tires King of Miami 2,retail,retail,auto_dealer
university_center_information_desk,University Center Information Desk,professional_services,professional_services,education
university_of_miami_parking_and_transportation_services,University of Miami Parking and Transportation Services,professional_services,professional_services,education
versailles_bakery,Versailles Bakery,retail,retail,food_beverage
vicky_cafe,Vicky Cafe,retail,retail,food_beverage
victorsolerbaillodvm,"Victor Soler-Baillo, DVM",other,other,healthcare
vintagediamondring,VintageDiamondRing,other,other,retail
virtuworks,Virtuworks,other,other,technology
west_miami_paint_and_body_shop,West Miami Paint and Body Shop,retail,retail,auto_dealer
westlakehardware,Westlake Hardware,other,other,retail
wow_mktg,WOW MKTG,other,other,marketing
zucca,Zucca,other,other,food_beverage
