business_id,business_name,contact_name,phone,website,address,lat,lon,postcode,neighborhood_area,category_primary,category_secondary,cuisine_type,price_tier,rating_primary_value,rating_primary_source,rating_primary_review_count,top_delights,top_pain_points,osint_confidence,validation_tier,red_flag_present,red_flag_severity,red_flag_notes,pkp_node_type,pkp_edges_summary,pkp_picks_shovels,pkp_undercurrents,chamber_member,source,batch_id,last_reviewed
seasons52,Seasons 52,Mr. Fernando Orms,(305) 442-8552,seasons52.com,321 Miracle Mile,25.7496759,-80.2613009,33134,Miracle Mile,food_beverage,Restaurants,american,$$,4.8,Google/Yelp (A1),843,Fresh seasonal menu,Temperature control (35% complaints),0.90,High,Y,Warning,Cold dining room killing experience,asset_node,sector:food_beverage; network:CGCC; geo:Miracle Mile,POS; reservation; inventory; social; delivery,Rent pressure; labor inflation; delivery apps; franchise standardization,Y,CGCC+OSM+TA+A1,CG-OSINT-20260212-v4.0,2026-02-12
aloftcoralgables,Aloft Coral Gables,Mr. Daniel Suarez,(305) 442-0372,aloftcoralgables.com,,25.7476969,-80.2630899,33134,Coral Gables,hospitality,Hotels & Resorts,,$$$,4.3,Google/Yelp (A1),,Modern amenities + friendly staff,Lost property service failures,0.90,High,N,,,asset_node,sector:hospitality; network:CGCC,PMS; OTA channels; revenue mgmt; guest experience,STR competition; brand standardization; tourism seasonality,Y,CGCC+OSM+A1,CG-OSINT-20260212-v4.0,2026-02-12
hyattregencycoralgables,Hyatt Regency Coral Gables,Mr. Mario J. Terran,(305) 441-1234,coralgables.hyatt.com,,,,,Coral Gables,hospitality,Hotels & Resorts,,$$$,4.1,Google/Yelp (A1),,Excellent service + spacious rooms,Dirty vents + horrendous mattresses,0.90,High,Y,Warning,Operational excellence = guest delights,platform_node,sector:hospitality; network:CGCC,PMS; OTA channels; revenue mgmt; guest experience,STR competition; brand standardization; tourism seasonality,Y,CGCC+A1,CG-OSINT-20260212-v4.0,2026-02-12
barakatbossa,BARAKAT + BOSSA,"Mr. Brian Barakat, Esq.",(305) 444-3114,b2b.legal,,,,,Coral Gables,legal,Attorneys â€‘ Civil Litigation,,$$$,5.0,Google/Yelp (A1),,Chambers-ranked + premium service,None identified,0.90,High,N,,,asset_node,sector:legal; network:CGCC,Case mgmt; CRM; legal research; referral network,AI disruption; client-acquisition cost; LatAm demand,Y,CGCC+A1,CG-OSINT-20260212-v4.0,2026-02-12
epgdbusinesslaw,EPGD Business Law,"Mr. Eric P. Grosâ€‘Dubois, Esq.",(786) 837-6787,epgdlaw.com,,,,,Coral Gables,legal,Attorneys â€‘ Business/Commercial Law,,$$$,3.5,Google/Yelp (A1),,Some positive relationships,Billing fraud allegations + ethics,0.75,High,Y,Warning,Professional thieves per reviews,asset_node,sector:legal; network:CGCC,Case mgmt; CRM; legal research; referral network,AI disruption; client-acquisition cost; LatAm demand,Y,CGCC+A1,CG-OSINT-20260212-v4.0,2026-02-12
thesaadelawfirm,"The Saade Law Firm, P.A.",Mr. Gabriel Saade,(786) 633-1114,saadelaw.com,,,,,Coral Gables,legal,Attorneys â€‘ Business Law,,$$$,,,,No public data,No public data,0.75,High,N,,,asset_node,sector:legal; network:CGCC,Case mgmt; CRM; legal research; referral network,AI disruption; client-acquisition cost; LatAm demand,Y,CGCC+A1,CG-OSINT-20260212-v4.0,2026-02-12
coralgablesgraphics,Coral Gables Graphics,Mr. Martin Morcillo,(305) 351-3210,coralgablesgraphics.com,,,,,Coral Gables,marketing,Advertising Specialties / Promotional Products,,$$$,,,,Chamber member,Limited data,0.75,High,N,,,picks_shovels_node,sector:marketing; network:CGCC,Analytics; ad mgmt; SEO; social mgmt,AI content generation; attribution complexity,Y,CGCC+A1,CG-OSINT-20260212-v4.0,2026-02-12
optfirst,OptFirst Inc.,Mr. John Kriney,(305) 401-4983,optfirst.com,,,,,Coral Gables,marketing,Online / Digital Marketing,,$$$,4.6,Google/Yelp (A1),,Google certified + 24-year veteran,Limited recent reviews,0.90,High,N,,,picks_shovels_node,sector:marketing; network:CGCC,Analytics; ad mgmt; SEO; social mgmt,AI content generation; attribution complexity,Y,CGCC+A1,CG-OSINT-20260212-v4.0,2026-02-12
booksbooks,"Books & Books, Inc.",Mr. Mitchell Kaplan,(305) 442-4408,booksandbooks.com,,,,,Coral Gables,other,"Book Dealers, Stores & Depositories",,$$,4.3,Google/Yelp (A1),,Intellectual community feel,Slow service + staff coordination,0.90,High,N,,,asset_node,sector:other; network:CGCC,CRM; digital presence; industry tools,Market competition; digital transformation,Y,CGCC+A1,CG-OSINT-20260212-v4.0,2026-02-12
toskasfacialbar,Toska Spa & Facial Bar,Ms. Charlotte Prescott,(786) 536-2998,toskaspa.com,,,,,Coral Gables,personal_services,Beauty Salon & Spa,,$$,4.7,Google/Yelp (A1),,Celebrity clientele + results,Premium pricing accessibility,0.75,High,N,,,asset_node,sector:personal_services; network:CGCC,Booking; POS; social media; loyalty,Market competition; digital transformation,Y,CGCC+A1,CG-OSINT-20260212-v4.0,2026-02-12
shoporigen,Shop Origen Corp.,Ms. Elisa Londono,(305) 934-1270,shop-origen.com,,,,,Coral Gables,retail,Boutique/Jewelry Store,,$$,4.0,Google/Yelp (A1),,Award-winning (Best Boutique 2024-25),Relocation transition period,0.75,High,N,,,asset_node,sector:retail; network:CGCC,POS; e-commerce; inventory; loyalty; social,E-commerce cannibalization; experiential shift; rent pressure,Y,CGCC+A1,CG-OSINT-20260212-v4.0,2026-02-12
shopsatmerrickrk,Shops at Merrick Park,Mr. Carlos Limontes,(305) 529-1215,shopsatmerrickpark.com,358 San Lorenzo Avenue,25.7315619,-80.2601452,33146,Bird Road Corridor,retail,Retail,,$$,4.5,Google/Yelp (A1),,Mediterranean architecture + luxury,Parking fees + extreme heat,0.90,High,N,,,asset_node,sector:retail; network:CGCC; geo:Bird Road Corridor,POS; e-commerce; inventory; loyalty; social,E-commerce cannibalization; experiential shift; rent pressure,Y,CGCC+OSM+A1,CG-OSINT-20260212-v4.0,2026-02-12
equinox,EQUINOX,Mr. Matt Pinder,(786) 497-8200,equinox.com/clubs/florida/coralgables,,,,,Coral Gables,wellness,Fitness Centers & Personal Trainers,,$$$$,3.8,Google/Yelp (A1),,Eucalyptus smell + clean facility,Unethical PT sales + no pool,0.90,High,Y,Warning,Deceptive practices = brand risk,asset_node,sector:wellness; network:CGCC,Booking; membership; EHR; social proof,Premium expansion; subscription models; med-spa regulation,Y,CGCC+A1,CG-OSINT-20260212-v4.0,2026-02-12
stretchzonecoralgables,Stretch Zone Coral Gables,Mr. Stephen Montalto,(786) 636-1306,stretchzone.com/locations/coralâ€‘gables,,,,,Coral Gables,wellness,Health/Wellness,,$$,4.1,Google/Yelp (A1),,Effective for committed users,Ã°Å¸Å¡Â¨ Auto-renewal + bait-and-switch,0.75,High,Y,Warning,Trust = deal-breaker for SaaS,asset_node,sector:wellness; network:CGCC,Booking; membership; EHR; social proof,Premium expansion; subscription models; med-spa regulation,Y,CGCC+A1,CG-OSINT-20260212-v4.0,2026-02-12
accountingtoscale,Accounting to Scale,Mr. Daniel Gonzalez,(305) 503-2814,accountingtoscale.com,,,,,Coral Gables,accounting,Accounting & Tax Services,,$$$,,,,,,0.55,Moderate,N,,,asset_node,sector:accounting; network:CGCC,QuickBooks/Xero; tax prep; client portals,Market competition; digital transformation,Y,CGCC,CG-OSINT-20260212-v4.0,2026-02-12
anabgarciac,"Ana B. Garcia, CPA",Ms. Ana Garcia,(305) 336-2487,anabgarciacpa.com,,,,,Coral Gables,accounting,Accounting & Consulting,,$$$,,,,,,0.55,Moderate,N,,,asset_node,sector:accounting; network:CGCC,QuickBooks/Xero; tax prep; client portals,Market competition; digital transformation,Y,CGCC,CG-OSINT-20260212-v4.0,2026-02-12
castillocomnyc,"Castillo & Company, CPA, P.A.","Ms. Martha Castillo, CPA",(305) 446-4670,castilloandcompany.com,,,,,Coral Gables,accounting,CPA Firm,,$$$,,,,,,0.55,Moderate,N,,,asset_node,sector:accounting; network:CGCC,QuickBooks/Xero; tax prep; client portals,Market competition; digital transformation,Y,CGCC,CG-OSINT-20260212-v4.0,2026-02-12
eisneramper,EisnerAmper,Mr. Michael Nazlis,(305) 371-6200,eisneramper.com,,,,,Coral Gables,accounting,Accounting & Tax Services,,$$$,,,,,,0.55,Moderate,N,,,asset_node,sector:accounting; network:CGCC,QuickBooks/Xero; tax prep; client portals,Market competition; digital transformation,Y,CGCC,CG-OSINT-20260212-v4.0,2026-02-12
gemrtco,"GEMRT & Co., LLP",Mr. Juan Carlos Gonzalez,(305) 529-5440,gemrtcpa.com,,,,,Coral Gables,accounting,CPA Firm,,$$$,,,,,,0.55,Moderate,N,,,asset_node,sector:accounting; network:CGCC,QuickBooks/Xero; tax prep; client portals,Market competition; digital transformation,Y,CGCC,CG-OSINT-20260212-v4.0,2026-02-12
garciasantamara,Garcia Santa MarÃ­a,Mr. Eric E. Santa MarÃ­a,(305) 448-0404,gsmcpas.com,,,,,Coral Gables,accounting,Accounting & Consulting,,$$$,,,,,,0.55,Moderate,N,,,asset_node,sector:accounting; network:CGCC,QuickBooks/Xero; tax prep; client portals,Market competition; digital transformation,Y,CGCC,CG-OSINT-20260212-v4.0,2026-02-12
ksdtc,"KSDT, CPA",Mr. Eugene Diaz,(305) 670-3370,ksdtcpa.com,,,,,Coral Gables,accounting,Accounting & Tax Services,,$$$,,,,,,0.55,Moderate,N,,,asset_node,sector:accounting; network:CGCC,QuickBooks/Xero; tax prep; client portals,Market competition; digital transformation,Y,CGCC,CG-OSINT-20260212-v4.0,2026-02-12
miamiguitars,Miami Guitars,,,,6703 Southwest 40th Street,25.7336483,-80.3031831,33146,Bird Road Corridor,accounting,accountant,,$$$,,,,,,0.55,Moderate,N,,,asset_node,sector:accounting; network:CGCC; geo:Bird Road Corridor,QuickBooks/Xero; tax prep; client portals,Market competition; digital transformation,N,OSM,CG-OSINT-20260212-v4.0,2026-02-12
miamicfo,Miamiâ€‘CFO,Mr. Rich Pototsky,(305) 676-6977,,,,,,Coral Gables,accounting,Accounting & Consulting,,$$$,,,,,,0.55,Moderate,N,,,asset_node,sector:accounting; network:CGCC,QuickBooks/Xero; tax prep; client portals,Market competition; digital transformation,Y,CGCC,CG-OSINT-20260212-v4.0,2026-02-12
nrcsandbusinessadvisors,NR CPAs and Business Advisors,Mr. Nischay Rawal,(305) 978-1533,nrcpas.com,,,,,Coral Gables,accounting,CPA/Accountant,,$$$,,,,,,0.55,Moderate,N,,,asset_node,sector:accounting; network:CGCC,QuickBooks/Xero; tax prep; client portals,Market competition; digital transformation,Y,CGCC,CG-OSINT-20260212-v4.0,2026-02-12
perezabreuaguerreberesueirotorrespl,"Perezâ€‘Abreu, Aguerrebere, Sueiro & Torres, P.L.","Mr. Carlos Perezâ€‘Abreu, CPA",(305) 567-0150,paast.com,,,,,Coral Gables,accounting,CPA Firm,,$$$,,,,,,0.55,Moderate,N,,,asset_node,sector:accounting; network:CGCC,QuickBooks/Xero; tax prep; client portals,Market competition; digital transformation,Y,CGCC,CG-OSINT-20260212-v4.0,2026-02-12
schecknerhetenyipl,"Scheckner & Hetenyi, PL","Mr. Marcell Hetenyi, CPA",(305) 379-0603,,,,,,Coral Gables,accounting,Accounting & Tax Services,,$$$,,,,,,0.55,Moderate,N,,,asset_node,sector:accounting; network:CGCC,QuickBooks/Xero; tax prep; client portals,Market competition; digital transformation,Y,CGCC,CG-OSINT-20260212-v4.0,2026-02-12
sharffwittmerkurtzjacksondiaz,"Sharff, Wittmer, Kurtz, Jackson, & Diaz, P.A.",Mr. Luis E. Diaz,(305) 666-7229,,,,,,Coral Gables,accounting,CPA Firm,,$$$,,,,,,0.55,Moderate,N,,,asset_node,sector:accounting; network:CGCC,QuickBooks/Xero; tax prep; client portals,Market competition; digital transformation,Y,CGCC,CG-OSINT-20260212-v4.0,2026-02-12
themolierigroup,The Molieri Group,Ms. Sonia Pascual,(786) 742-2001,molierigroupcpa.com,,,,,Coral Gables,accounting,Accounting & Consulting,,$$$,,,,,,0.55,Moderate,N,,,asset_node,sector:accounting; network:CGCC,QuickBooks/Xero; tax prep; client portals,Market competition; digital transformation,Y,CGCC,CG-OSINT-20260212-v4.0,2026-02-12
veridian,Veridian,Mr. John Lowell,(305) 928-6822,hancockaskew.com,,,,,Coral Gables,accounting,Accounting & Consulting,,$$$,,,,,,0.55,Moderate,N,,,asset_node,sector:accounting; network:CGCC,QuickBooks/Xero; tax prep; client portals,Market competition; digital transformation,Y,CGCC,CG-OSINT-20260212-v4.0,2026-02-12
zafarfrancuzcomny,"Zafar Francuz & Company, LLC","Mr. Greg Francuz, CPA, MBA",(305) 281-3954,zafarcpas.com,,,,,Coral Gables,accounting,CPA Firm,,$$$,,,,,,0.55,Moderate,N,,,asset_node,sector:accounting; network:CGCC,QuickBooks/Xero; tax prep; client portals,Market competition; digital transformation,Y,CGCC,CG-OSINT-20260212-v4.0,2026-02-12
amcsunsetplace24,AMC Sunset Place 24,,,https://www.amctheatres.com/movie-theatres/miami-ft-lauderdale/amc-sunset-place-24,5701 Sunset Drive,25.7049663,-80.2862985,33143,Sunset / South Gables,arts_culture,cinema,,$$,,,,,,0.55,Moderate,N,,,asset_node,sector:arts_culture; network:CGCC; geo:Sunset / South Gables,Ticketing; grant mgmt; venue mgmt,Market competition; digital transformation,N,OSM,CG-OSINT-20260212-v4.0,2026-02-12
actorsplayhouseatthemiracletheatre,Actors' Playhouse at the Miracle Theatre,Ms. Barbara Stein,(305) 444-9293,actorsplayhouse.org,280 Miracle Mile,25.7492488,-80.260328,33134,Miracle Mile,arts_culture,Theatres,,$$,,,,,,0.55,Moderate,N,,,asset_node,sector:arts_culture; network:CGCC; geo:Miracle Mile,Ticketing; grant mgmt; venue mgmt,Market competition; digital transformation,Y,CGCC+OSM,CG-OSINT-20260212-v4.0,2026-02-12
aloftmiamidadeland,Aloft Miami Dadeland,Ms. Gabriela Bilkay,(786) 451-7023,aloftdadeland.com,,,,,Coral Gables,arts_culture,Apartment Rentals,,$$,,,,,,0.55,Moderate,N,,,asset_node,sector:arts_culture; network:CGCC,Ticketing; grant mgmt; venue mgmt,Market competition; digital transformation,Y,CGCC,CG-OSINT-20260212-v4.0,2026-02-12
aragalleryculturalcenter,Ara Gallery Cultural Center,,,,,25.764874,-80.255662,33133,Coral Gables,arts_culture,arts_centre,,$$,,,,,,0.55,Moderate,N,,,asset_node,sector:arts_culture; network:CGCC,Ticketing; grant mgmt; venue mgmt,Market competition; digital transformation,N,OSM,CG-OSINT-20260212-v4.0,2026-02-12
azucarnightclub,Azucar Nightclub,,,,,25.7481022,-80.2459477,33133,Coral Gables,arts_culture,nightclub,,$$,,,,,,0.55,Moderate,N,,,asset_node,sector:arts_culture; network:CGCC,Ticketing; grant mgmt; venue mgmt,Market competition; digital transformation,N,OSM,CG-OSINT-20260212-v4.0,2026-02-12
cinpolisluxurycinemas,CinÃ©polis Luxury Cinemas,,,,3105 Grand Avenue,25.7287012,-80.2423659,33133,Douglas Road Corridor,arts_culture,cinema,,$$,,,,,,0.55,Moderate,N,,,asset_node,sector:arts_culture; network:CGCC; geo:Douglas Road Corridor,Ticketing; grant mgmt; venue mgmt,Market competition; digital transformation,N,OSM,CG-OSINT-20260212-v4.0,2026-02-12
cityofcoralgables,City of Coral Gables,Mr. Peter Iglesias,(305) 446-6800,coralgables.com,,,,,Coral Gables,arts_culture,Government Departments & Associations,,$$,,,,,,0.55,Moderate,N,,,infrastructure_node,sector:arts_culture; network:CGCC,Ticketing; grant mgmt; venue mgmt,Market competition; digital transformation,Y,CGCC,CG-OSINT-20260212-v4.0,2026-02-12
coconutgroveplayhouse,Coconut Grove Playhouse,,,,,25.7260174,-80.244975,33134,Douglas Road Corridor,arts_culture,theatre,,$$,,,,,,0.55,Moderate,N,,,asset_node,sector:arts_culture; network:CGCC; geo:Douglas Road Corridor,Ticketing; grant mgmt; venue mgmt,Market competition; digital transformation,N,OSM,CG-OSINT-20260212-v4.0,2026-02-12
coralgablesinternationalartcenter,Coral Gables International Art Center,,,,,25.763864,-80.284283,33134,Coral Gables,arts_culture,arts_centre,,$$,,,,,,0.55,Moderate,N,,,asset_node,sector:arts_culture; network:CGCC,Ticketing; grant mgmt; venue mgmt,Market competition; digital transformation,N,OSM,CG-OSINT-20260212-v4.0,2026-02-12
coralgablesmuseum,Coral Gables Museum,Mr. Elvis Fuentes,(305) 603-8067,coralgablesmuseum.org,,,,,Coral Gables,arts_culture,Museums,,$$,,,,,,0.55,Moderate,N,,,asset_node,sector:arts_culture; network:CGCC,Ticketing; grant mgmt; venue mgmt,Market competition; digital transformation,Y,CGCC,CG-OSINT-20260212-v4.0,2026-02-12
cosfordcinema,Cosford Cinema,,,https://cosfordcinema.com,,25.7226195,-80.2772367,33146,University of Miami,arts_culture,theatre,,$$,,,,,,0.55,Moderate,N,,,asset_node,sector:arts_culture; network:CGCC; geo:University of Miami,Ticketing; grant mgmt; venue mgmt,Market competition; digital transformation,N,OSM,CG-OSINT-20260212-v4.0,2026-02-12
fibainternationalbasketballfederation,FIBA (International Basketball Federation),Ms. Rafaela Rivera,(917) 645-2137,fiba.basketball,,,,,Coral Gables,arts_culture,Sporting Events & Entertainment,,$$,,,,,,0.55,Moderate,N,,,asset_node,sector:arts_culture; network:CGCC,Ticketing; grant mgmt; venue mgmt,Market competition; digital transformation,Y,CGCC,CG-OSINT-20260212-v4.0,2026-02-12
frostsciencemuseum,Frost Science Museum,Ms. Edie Pearson,(305) 434-9592,frostscience.org,,,,,Coral Gables,arts_culture,Museums,,$$,,,,,,0.55,Moderate,N,,,asset_node,sector:arts_culture; network:CGCC,Ticketing; grant mgmt; venue mgmt,Market competition; digital transformation,Y,CGCC,CG-OSINT-20260212-v4.0,2026-02-12
gablestage,GableStage,Ms. Kate Kramitz,(305) 446â€‘1116 x307,gablestage.org,,,,,Coral Gables,arts_culture,Theatres,,$$,,,,,,0.55,Moderate,N,,,asset_node,sector:arts_culture; network:CGCC,Ticketing; grant mgmt; venue mgmt,Market competition; digital transformation,Y,CGCC,CG-OSINT-20260212-v4.0,2026-02-12
gablescolumbuscenter,Gables Columbus Center,Ms. Kasey Salvatierra,(786) 559-7838,gables.com/columbuscenter,,,,,Coral Gables,arts_culture,Apartment Rentals,,$$,,,,,,0.55,Moderate,N,,,asset_node,sector:arts_culture; network:CGCC,Ticketing; grant mgmt; venue mgmt,Market competition; digital transformation,Y,CGCC,CG-OSINT-20260212-v4.0,2026-02-12
gablesponce,Gables Ponce,Ms. Stephanie Bodie,(305) 667-5700,gables.com,,,,,Coral Gables,arts_culture,Apartment Rentals,,$$,,,,,,0.55,Moderate,N,,,asset_node,sector:arts_culture; network:CGCC,Ticketing; grant mgmt; venue mgmt,Market competition; digital transformation,Y,CGCC,CG-OSINT-20260212-v4.0,2026-02-12
grovegalleryinteriors,Grove Gallery & Interiors,Ms. Sheila Kuhl,(305) 445-7401,grovegalleryinteriors.com,,,,,Coral Gables,arts_culture,Artists & Galleries,,$$,,,,,,0.55,Moderate,N,,,asset_node,sector:arts_culture; network:CGCC,Ticketing; grant mgmt; venue mgmt,Market competition; digital transformation,Y,CGCC,CG-OSINT-20260212-v4.0,2026-02-12
gusmanconcerthall,Gusman Concert Hall,,,,1314 Miller Road,25.71965,-80.2795082,33146,University of Miami,arts_culture,theatre,,$$,,,,,,0.55,Moderate,N,,,asset_node,sector:arts_culture; network:CGCC; geo:University of Miami,Ticketing; grant mgmt; venue mgmt,Market competition; digital transformation,N,OSM,CG-OSINT-20260212-v4.0,2026-02-12
hbenitezfineartgallery,H Benitez Fine Art Gallery Inc.,Ms. Lissette Benitez,(786) 877-1045,humbertobenitez.com,,,,,Coral Gables,arts_culture,Artists & Galleries,,$$,,,,,,0.55,Moderate,N,,,asset_node,sector:arts_culture; network:CGCC,Ticketing; grant mgmt; venue mgmt,Market competition; digital transformation,Y,CGCC,CG-OSINT-20260212-v4.0,2026-02-12
hardrockstadium,Hard Rock Stadium,Mr. Marc Weinroth,(305) 943-6581,hardrockstadium.com,,,,,Coral Gables,arts_culture,Sporting Events & Entertainment,,$$,,,,,,0.55,Moderate,N,,,asset_node,sector:arts_culture; network:CGCC,Ticketing; grant mgmt; venue mgmt,Market competition; digital transformation,Y,CGCC,CG-OSINT-20260212-v4.0,2026-02-12
jerryhermanringtheatre,Jerry Herman Ring Theatre,,,https://ring-theatre.as.miami.edu/index.html,1312 Miller Road,25.7195927,-80.2801052,33146,University of Miami,arts_culture,theatre,,$$,,,,,,0.55,Moderate,N,,,asset_node,sector:arts_culture; network:CGCC; geo:University of Miami,Ticketing; grant mgmt; venue mgmt,Market competition; digital transformation,N,OSM,CG-OSINT-20260212-v4.0,2026-02-12
kaseyacenter,Kaseya Center,Mr. Mark Brown,(786) 777-1000,kaseyacenter.com,,,,,Coral Gables,arts_culture,"Entertainment, Events & Performing Arts",,$$,,,,,,0.55,Moderate,N,,,asset_node,sector:arts_culture; network:CGCC,Ticketing; grant mgmt; venue mgmt,Market competition; digital transformation,Y,CGCC,CG-OSINT-20260212-v4.0,2026-02-12
knightcenterformusicinnovation,Knight Center for Music Innovation,,,,5513 San Amaro Drive,25.7180642,-80.281176,33146,University of Miami,arts_culture,theatre,,$$,,,,,,0.55,Moderate,N,,,asset_node,sector:arts_culture; network:CGCC; geo:University of Miami,Ticketing; grant mgmt; venue mgmt,Market competition; digital transformation,N,OSM,CG-OSINT-20260212-v4.0,2026-02-12
landmarkatmerrickrk,Landmark at Merrick Park,,,https://www.landmarktheatres.com/miami/the-landmark-at-merrick-park/,,25.7313883,-80.2609066,33146,Bird Road Corridor,arts_culture,cinema,,$$,,,,,,0.55,Moderate,N,,,asset_node,sector:arts_culture; network:CGCC; geo:Bird Road Corridor,Ticketing; grant mgmt; venue mgmt,Market competition; digital transformation,N,OSM,CG-OSINT-20260212-v4.0,2026-02-12
legendsmiamihurricanes,Legends â€‘ Miami Hurricanes,Ms. Kayla Blake Grimes,,miamihurricanes.com,,,,,Coral Gables,arts_culture,Sporting Events & Entertainment,,$$,,,,,,0.55,Moderate,N,,,asset_node,sector:arts_culture; network:CGCC,Ticketing; grant mgmt; venue mgmt,Market competition; digital transformation,Y,CGCC,CG-OSINT-20260212-v4.0,2026-02-12
