business_id,business_name,contact_name,phone,website,address,lat,lon,postcode,neighborhood_area,category_primary,category_secondary,price_tier,rating_primary_value,rating_primary_source,rating_primary_review_count,top_delights,top_pain_points,osint_confidence,validation_tier,red_flag_present,red_flag_severity,red_flag_notes,chamber_member,source_file,batch_id,last_reviewed_date
orrplumbing,Orr Plumbing,,(305) 240-6731,orrplumbing.com,"Coral Gables, FL",,,,,plumbing,emergency & backflow,,,Web,,,,,,,,,N,non-cgcc-run2,,
rotorooter,Roto-Rooter,,(305) 461-5521,rotorooter.com,"Coral Gables, FL",,,,,plumbing,emergency & drain cleaning,,,Web,,,,,,,,,N,non-cgcc-run2,,
a1undergroundplumbingservices,A1 Underground & Plumbing Services,,,undergroundplumbers.com,"Coral Gables, FL",,,,,plumbing,residential & commercial,,,Web,,,,,,,,,N,non-cgcc-run2,,
coralgablescardiologyassociates,Coral Gables Cardiology Associates,,(305) 443-5291,coralgablescardiology.com,"475 Biltmore Way, Suite 201, Coral Gables, FL 33134",,,,,healthcare,concierge internal medicine,,,Web,,,,,,,,,N,non-cgcc-run2,,
jacksonmedicalgroupcoralgables,Jackson Medical Group Coral Gables,,,(305) 585-9511,"3737 S.W. 8 St., suite B, Coral Gables, FL 33134",,,,,healthcare,primary care & cardiology,,,Web,,,,,,,,,N,non-cgcc-run2,,
mountsinaiprimaryspecialtycare,Mount Sinai Primary & Specialty Care,,(305) 441-0910,msmc.com,"836 Ponce de Leon Boulevard, Suite 200, Coral Gables, FL 33134",,,,,healthcare,multi-specialty,,,Web,,,,,,,,,N,non-cgcc-run2,,
thefamilymedicalgroupcoralgables,The Family Medical Group Coral Gables,,(305) 306-0233,thefamilymedgroup.com,"1330 SW 22nd Street, Suite 401, Miami, FL 33145",,,,,healthcare,primary care,,,Web,,,,,,,,,N,non-cgcc-run2,,
equinoxcoralgables,Equinox Coral Gables,,(786) 497-8200,equinox.com,"370 San Lorenzo Avenue, Coral Gables, FL 33146",,,,,fitness,luxury health club,,,Web,,,,,,,,,N,non-cgcc-run2,,
sweat440coralgables,SWEAT440 Coral Gables,,,sweat440.com,"Coral Gables, FL",,,,,fitness,strength training,,,Web,,,,,,,,,N,non-cgcc-run2,,
tdbankcoralgablesmiraclemile,TD Bank Coral Gables Miracle Mile,,(305) 448-8995,td.com,"2401 Ponce de Leon Boulevard, Coral Gables, FL",,,,,banking,full service,,,Web,,,,,,,,,N,non-cgcc-run2,,
firstamericanbank,First American Bank,,(305) 500-9501,firstambank.com,"540 Biltmore Way, Coral Gables, FL 33134",,,,,banking,full service,,,Web,,,,,,,,,N,non-cgcc-run2,,
mycitysocial,MyCity Social,,,,"Coral Gables, FL",,,,,marketing,digital marketing,,,,,,,,,,,,N,non-cgcc-run2,,
se2012nocontracticscreativeagency,"Since 2012, no contract ICS Creative Agency",,,icscreativeagency.com,"Coral Gables, FL",,,,,marketing,full-service creative,,,Web,,,,,,,,,N,non-cgcc-run2,,
monsatroyalvet,Mon-Sat Royal Vet,,(305) 667-5821,royalvet.com,"4569 Ponce de Leon, Coral Gables, FL 33146",,,,,veterinary,wellness & emergency,,,Web,,,,,,,,,N,non-cgcc-run2,,
banfieldpethospital,Banfield Pet Hospital,,(786) 796-2241,banfield.com,"3176 SW 22nd St, Coral Gables, FL 33145",,,,,veterinary,full service,,,Web,,,,,,,,,N,non-cgcc-run2,,
gablesanimalclinic,Gables Animal Clinic,,,,"Coral Gables, FL",,,,,veterinary,dogs & cats,,,Web,,,,,,,,,N,non-cgcc-run2,,
mathreadingfocusgablestutoring,Math & reading focus Gables Tutoring,,,gablestutoring.com,"Coral Gables, FL",,,,,education,test prep,,,Web,,,,,,,,,N,non-cgcc-run2,,
coralgablesmuseum,Coral Gables Museum,,,(305) 603-8067,"285 Aragon Ave, Coral Gables, FL 33134",,,,,venues,events & weddings,,coralgablesmuseum.org,,,,,,,,,,N,non-cgcc-run2,,
loewscoralgableshotel,Loews Coral Gables Hotel,,,loewshotels.com,"Coral Gables, FL",,,,,venues,meetings & events,,,Web,,,,,,,,,N,non-cgcc-run2,,
comberhall,Comber Hall,,,comberhall.com,"Coral Gables, FL",,,,,venues,weddings & events,,,Web,,,,,,,,,N,non-cgcc-run2,,
