business_name,category,specialty,address,phone,website,rating,reviews,source,notes
Threefold Cafe,food_beverage,cafe,"141 Giralda Ave, Coral Gables, FL",,,4.3,197,Web,
Pasion del Cielo,food_beverage,cafe,"Coral Gables, FL",,,4.5,123,Web,
Bachour,food_beverage,bakery/cafe,"Coral Gables, FL",,,4.4,124,Web,
Crema Gourmet Espresso Bar,food_beverage,cafe,"169 Miracle Mile, Coral Gables, FL",,cremagourmet.com,4.2,52,Web,
Chocolate Fashion,food_beverage,cafe/dessert,"248 Andalusia Ave, Coral Gables, FL",,,4.2,179,Web,
Cafe Demetrio,food_beverage,cafe,"300 Alhambra Circle, Coral Gables, FL 33134",(305) 448-6077,cafedemetrio.com,,,Web,
Tinta y Cafe,food_beverage,cuban cafe,"1315 Ponce de Leon Blvd, Coral Gables, FL",,tintaycafe.co,,,Web,
GROU Coffee + Cowork,food_beverage,cafe/coworking,"4100 Salzedo St STE 5, Coral Gables, FL",,,,,Web,
Cafe Grumpy - Coral Gables,food_beverage,cafe,"2516 Ponce de Leon Blvd, Coral Gables, FL",,,,,Web,
Cortadito Coffee House Coral Gables,food_beverage,cafe,"200 Miracle Mile, Coral Gables, FL",,,,,Web,
Glasshouse Caf̩,food_beverage,cafe,"10901 Old Cutler Rd, Coral Gables, FL",,,,,Web,
Fa̤ade Bakery,food_beverage,bakery,"271 Giralda Ave, Coral Gables, FL",,,,,Web,
Equinox Coral Gables,wellness,fitness,"370 San Lorenzo Avenue, Coral Gables, FL 33146",(786) 497-8200,equinox.com,,,Web,
Life Time Coral Gables,wellness,fitness,"Coral Gables, FL",(786) 437-4407,lifetime.life,,,Web,
YouFit Gyms Coral Gables,wellness,fitness,"7070 Coral Way, Miami, FL 33155",(888) 968-3481,youfit.com,,,Web,
SWEAT440 Coral Gables,wellness,fitness,"Coral Gables, FL 33146",,sweat440.com,,,Web,
Vantage Communications,marketing,,"Coral Gables, FL",,,,,Web,
MyCity Social,marketing,,"Coral Gables, FL",,,,,Web,
Fluid Marketplaces,marketing,Amazon agency,"Coral Gables, FL",,,,,Web,
MKTDIRECTOR,marketing,,"Coral Gables, FL",,,,,Web,
The Brand Collective,marketing,,"Coral Gables, FL",,,,,Web,
H/L Agency,marketing,,"Coral Gables, FL",,,,,Web,
ICS Creative Agency,marketing,web design/digital,"Coral Gables, FL",,icscreativeagency.com,,,Web,
Doc Digital SEM,marketing,SEO,"Coral Gables, FL",,docdigitalsem.com,,,Web,
Blare Media,marketing,social media,"Coral Gables, FL",,blaremedia.net,,,Web,
