business_id,business_name,contact_name,phone,website,address,lat,lon,postcode,neighborhood_area,category_primary,category_secondary,price_tier,rating_primary_value,rating_primary_source,rating_primary_review_count,rating_secondary_value,rating_secondary_source,top_delights,top_pain_points,osint_confidence,validation_tier,validation_confidence,red_flag_present,red_flag_severity,red_flag_category,red_flag_notes,pkp_node_type,pkp_edges_summary,pkp_picks_shovels_summary,pkp_undercurrents_summary,pkp_key_signals,pkp_primary_risks,pkp_primary_actions,chamber_member,source,batch_id,last_reviewed_date
johnmartins,JohnMartin's,Mr. Tony Guerra,(305) 209-0609,johnmartinsmiami.com,,,,,Coral Gables,food_beverage,Restaurants â€‘ Sports Bar,$$,4.0,Google/Yelp,,,,Sports bar energy,Music/vibe mismatch post-renovation,0.75,High,0.9,N,,,,asset_node,sector:food_beverage; network:CGCC_ecosystem,POS; reservation platforms; inventory mgmt; social media; delivery apps,Commercial rent pressure; franchise standardization; labor cost inflation; digital-first ordering,avg_rating_trend; review_velocity; reservation_fill_rate; CSI,Lease renewal risk; labor retention; health code compliance; review volatility,Chamber engagement for co-marketing; sentiment monitoring; reservation optimization,Y,CGCC+A1,CG-OSINT-20260211-v2.0,2026-02-11
seasons_52,Seasons 52,Mr. Fernando Orms,(305) 442-8552,seasons52.com,321 Miracle Mile,25.7496759,-80.2613009,33134,Miracle Mile,food_beverage,Restaurants â€‘ American,$$,4.8,Yelp,1015,,,Fresh seasonal menu,Temperature control (35% complaints),0.90,High,0.95,Y,Warning,Operational,Temperature control 35% complaint rate,asset_node,geo:Miracle Mile; sector:food_beverage; network:CGCC_ecosystem,POS; reservation platforms; inventory mgmt; social media; delivery apps,Commercial rent pressure; franchise standardization; labor cost inflation; digital-first ordering,avg_rating_trend; review_velocity; reservation_fill_rate; CSI,Lease renewal risk; labor retention; health code compliance; review volatility,Chamber engagement for co-marketing; sentiment monitoring; reservation optimization,Y,CGCC+OSM+A1,CG-OSINT-20260211-v2.0,2026-02-11
stretch_zone_coral_gables,Stretch Zone Coral Gables,Mr. Stephen Montalto,(786) 636-1306,stretchzone.com/locations/coralâ€‘gables,,,,,Coral Gables,healthcare,Health/Wellness,$$$,4.1,Yelp,,,,Effective for committed users,Ã°Å¸Å¡Â¨ Auto-renewal + bait-and-switch,0.75,High,0.85,Y,Critical,Ethics,Auto-renewal + bait-and-switch pattern,asset_node,sector:healthcare; network:CGCC_ecosystem,EHR/EMR; billing/coding; telehealth; medical equipment; compliance,Telehealth adoption; insurance reimbursement pressure; staffing shortages; regulatory,patient_satisfaction; wait_times; referral_rate; staff_retention,Regulatory compliance; malpractice liability; staffing; reimbursement pressure,Chamber engagement; digital presence audit; competitive benchmarking,Y,CGCC+A1,CG-OSINT-20260211-v2.0,2026-02-11
aloft_coral_gables,Aloft Coral Gables,Mr. Daniel Suarez,(305) 442-0372,aloftcoralgables.com,,25.7476969,-80.2630899,,Coral Gables,hospitality,Hotels & Resorts,$$$,4.3,Google/Yelp,,,,Modern amenities + friendly staff,Lost property service failures,0.90,High,0.9,N,,,,asset_node,sector:hospitality; network:CGCC_ecosystem,PMS; OTA channels; revenue mgmt; guest experience platforms,Short-term rental competition; brand standardization; tourism seasonality,customer_satisfaction; revenue_trend; digital_presence; community_engagement,Market competition; key-person risk; cost pressure; technology disruption,Chamber engagement; digital presence audit; competitive benchmarking,Y,CGCC+OSM+A1,CG-OSINT-20260211-v2.0,2026-02-11
hyatt_regency_coral_gables,Hyatt Regency Coral Gables,Mr. Mario J. Terran,(305) 441-1234,coralgables.hyatt.com,,,,,Coral Gables,hospitality,Hotels & Resorts,$$$,4.1,Yelp/Booking,,,,Excellent service + spacious rooms,Dirty vents + horrendous mattresses,0.90,High,0.9,Y,Warning,Operational,Cleanliness issues,infrastructure_node,sector:hospitality; network:CGCC_ecosystem,PMS; OTA channels; revenue mgmt; guest experience platforms,Short-term rental competition; brand standardization; tourism seasonality,customer_satisfaction; revenue_trend; digital_presence; community_engagement,Market competition; key-person risk; cost pressure; technology disruption,Chamber engagement; digital presence audit; competitive benchmarking,Y,CGCC+A1,CG-OSINT-20260211-v2.0,2026-02-11
barakat__bossa,BARAKAT + BOSSA,"Mr. Brian Barakat, Esq.",(305) 444-3114,b2b.legal,,,,,Coral Gables,legal,Attorneys â€‘ Commercial Litigation,$$$,5.0,Google,,,,Chambers-ranked + premium service,None identified,0.90,High,0.95,N,,,,asset_node,sector:legal; network:CGCC_ecosystem,Case management; CRM; legal research; referral network; bar association,AI disruption in document review; client-acquisition cost; LatAm gateway demand,referral_rate; case_volume; avg_billing_rate; community_presence,Key-person dependency; malpractice exposure; regulatory changes; client concentration,Referral network development; Chamber board participation; content authority building,Y,CGCC+A1,CG-OSINT-20260211-v2.0,2026-02-11
epgd_business_law,EPGD Business Law,"Mr. Eric P. Grosâ€‘Dubois, Esq.",(786) 837-6787,epgdlaw.com,,,,,Coral Gables,legal,"Attorneys â€‘ Estate Planning, Trusts & Probate",$$$,3.5,Google,,,,Some positive relationships,Billing fraud allegations + ethics,0.75,High,0.85,Y,Critical,Ethics,Billing fraud allegations,asset_node,sector:legal; network:CGCC_ecosystem,Case management; CRM; legal research; referral network; bar association,AI disruption in document review; client-acquisition cost; LatAm gateway demand,referral_rate; case_volume; avg_billing_rate; community_presence,Key-person dependency; malpractice exposure; regulatory changes; client concentration,Referral network development; Chamber board participation; content authority building,Y,CGCC+A1,CG-OSINT-20260211-v2.0,2026-02-11
the_saade_law_firm_pa,"The Saade Law Firm, P.A.",Mr. Gabriel Saade,(786) 633-1114,saadelaw.com,,,,,Coral Gables,legal,"Attorneys â€‘ Patent, Trademark & Copyright Law",$$$,,,,,,No public data,No public data,0.75,High,0.75,N,,,,asset_node,sector:legal; network:CGCC_ecosystem,Case management; CRM; legal research; referral network; bar association,AI disruption in document review; client-acquisition cost; LatAm gateway demand,referral_rate; case_volume; avg_billing_rate; community_presence,Key-person dependency; malpractice exposure; regulatory changes; client concentration,Referral network development; Chamber board participation; content authority building,Y,CGCC+A1,CG-OSINT-20260211-v2.0,2026-02-11
coral_gables_graphics,Coral Gables Graphics,Mr. Martin Morcillo,(305) 351-3210,coralgablesgraphics.com,,,,,Coral Gables,marketing,Advertising Specialties / Promotional Products,$$$,,,,,,Chamber member,Limited data,0.75,High,0.75,N,,,,picks_shovels_node,sector:marketing; network:CGCC_ecosystem,Analytics; ad mgmt; SEO tools; social media mgmt; creative suites,AI content generation; attribution complexity; client budget sensitivity,customer_satisfaction; revenue_trend; digital_presence; community_engagement,Market competition; key-person risk; cost pressure; technology disruption,Chamber engagement; digital presence audit; competitive benchmarking,Y,CGCC+A1,CG-OSINT-20260211-v2.0,2026-02-11
toska_spa__facial_bar,Toska Spa & Facial Bar,Ms. Charlotte Prescott,(786) 536-2998,toskaspa.com,,,,,Coral Gables,personal_services,Beauty Salon & Spa,$$,4.7,Google/Yelp (Agent 1 OSINT),,,,Celebrity clientele + results,Premium pricing accessibility,0.75,High,0.75,N,,,,asset_node,sector:personal_services; network:CGCC_ecosystem,Booking software; POS; social media; loyalty programs,Labor costs; online booking expectations; review dependency,customer_satisfaction; revenue_trend; digital_presence; community_engagement,Market competition; key-person risk; cost pressure; technology disruption,Chamber engagement; digital presence audit; competitive benchmarking,Y,CGCC+A1,CG-OSINT-20260211-v2.0,2026-02-11
books__books_inc,"Books & Books, Inc.",Mr. Mitchell Kaplan,(305) 442-4408,booksandbooks.com,,,,,Coral Gables,retail,"Book Dealers, Stores & Depositories",$$,4.3,Yelp,,,,Intellectual community feel,Slow service + staff coordination,0.90,High,0.9,N,,,,asset_node,sector:retail; network:CGCC_ecosystem,POS; e-commerce; inventory mgmt; loyalty programs; social media,E-commerce cannibalization; experiential retail shift; rent pressure; foot traffic dependency,foot_traffic; avg_ticket; inventory_turns; online_reviews_velocity,Foot traffic decline; e-commerce competition; lease cost; inventory risk,Chamber engagement; digital presence audit; competitive benchmarking,Y,CGCC+A1,CG-OSINT-20260211-v2.0,2026-02-11
shop_origen_corp,Shop Origen Corp.,Ms. Elisa Londono,(305) 934-1270,shop-origen.com,,,,,Coral Gables,retail,Boutique/Jewelry Store,$$,4.0,Google/Yelp (Agent 1 OSINT),,,,Award-winning (Best Boutique 2024-25),Relocation transition period,0.75,High,0.75,N,,,,asset_node,sector:retail; network:CGCC_ecosystem,POS; e-commerce; inventory mgmt; loyalty programs; social media,E-commerce cannibalization; experiential retail shift; rent pressure; foot traffic dependency,foot_traffic; avg_ticket; inventory_turns; online_reviews_velocity,Foot traffic decline; e-commerce competition; lease cost; inventory risk,Chamber engagement; digital presence audit; competitive benchmarking,Y,CGCC+A1,CG-OSINT-20260211-v2.0,2026-02-11
shops_at_merrick_park,Shops at Merrick Park,Mr. Carlos Limontes,(305) 529-1215,shopsatmerrickpark.com,358 San Lorenzo Avenue,25.7315619,-80.2601452,33146,Bird Road Corridor,retail,Retail,$$,4.5,Google/Yelp (Agent 1 OSINT),,,,Mediterranean architecture + luxury,Parking fees + extreme heat,0.90,High,0.90,N,,,,asset_node,geo:Bird Road Corridor; sector:retail; network:CGCC_ecosystem,POS; e-commerce; inventory mgmt; loyalty programs; social media,E-commerce cannibalization; experiential retail shift; rent pressure; foot traffic dependency,foot_traffic; avg_ticket; inventory_turns; online_reviews_velocity,Foot traffic decline; e-commerce competition; lease cost; inventory risk,Chamber engagement; digital presence audit; competitive benchmarking,Y,CGCC+OSM+A1,CG-OSINT-20260211-v2.0,2026-02-11
optfirst_inc,OptFirst Inc.,Mr. John Kriney,(305) 401-4983,optfirst.com,,,,,Coral Gables,technology,Website Developers and Designers,$$$,4.6,Yelp,,,,Google certified + 24-year veteran,Limited recent reviews,0.90,High,0.9,N,,,,picks_shovels_node,sector:technology; network:CGCC_ecosystem,Dev tools; cloud infra; project mgmt; CRM; support ticketing,Rapid obsolescence; talent competition; AI integration imperative,customer_satisfaction; revenue_trend; digital_presence; community_engagement,Market competition; key-person risk; cost pressure; technology disruption,Chamber engagement; digital presence audit; competitive benchmarking,Y,CGCC+A1,CG-OSINT-20260211-v2.0,2026-02-11
equinox,EQUINOX,Mr. Matt Pinder,(786) 497-8200,equinox.com/clubs/florida/coralgables,,,,,Coral Gables,wellness,Fitness Centers & Personal Trainers,$$$$,3.8,Yelp,,,,Eucalyptus smell + clean facility,Unethical PT sales + no pool,0.90,High,0.9,Y,Critical,Ethics,Deceptive PT sales; bait-and-switch,platform_node,sector:wellness; network:CGCC_ecosystem,Booking software; membership mgmt; EHR; social proof platforms,Premium expansion; subscription model adoption; med-spa regulation; consumer expectations,customer_satisfaction; revenue_trend; digital_presence; community_engagement,Market competition; key-person risk; cost pressure; technology disruption,Chamber engagement; digital presence audit; competitive benchmarking,Y,CGCC+A1,CG-OSINT-20260211-v2.0,2026-02-11
accounting_to_scale,Accounting to Scale,Mr. Daniel Gonzalez,(305) 503-2814,accountingtoscale.com,,,,,Coral Gables,accounting,Accounting & Tax Services,$$$,,,,,,,,0.55,Moderate,0.65,N,,,,asset_node,sector:accounting; network:CGCC_ecosystem,QuickBooks/Xero; tax prep; audit platforms; client portals,Automation of bookkeeping; regulatory complexity increase; talent shortage,customer_satisfaction; revenue_trend; digital_presence; community_engagement,Market competition; key-person risk; cost pressure; technology disruption,Chamber engagement; digital presence audit; competitive benchmarking,Y,CGCC,CG-OSINT-20260211-v2.0,2026-02-11
ana_b_garcia_cpa,"Ana B. Garcia, CPA",Ms. Ana Garcia,(305) 336-2487,anabgarciacpa.com,,,,,Coral Gables,accounting,Accounting & Consulting,$$$,,,,,,,,0.55,Moderate,0.65,N,,,,asset_node,sector:accounting; network:CGCC_ecosystem,QuickBooks/Xero; tax prep; audit platforms; client portals,Automation of bookkeeping; regulatory complexity increase; talent shortage,customer_satisfaction; revenue_trend; digital_presence; community_engagement,Market competition; key-person risk; cost pressure; technology disruption,Chamber engagement; digital presence audit; competitive benchmarking,Y,CGCC,CG-OSINT-20260211-v2.0,2026-02-11
castillo__company_cpa_pa,"Castillo & Company, CPA, P.A.","Ms. Martha Castillo, CPA",(305) 446-4670,castilloandcompany.com,,,,,Coral Gables,accounting,CPA Firm,$$$,,,,,,,,0.55,Moderate,0.65,N,,,,asset_node,sector:accounting; network:CGCC_ecosystem,QuickBooks/Xero; tax prep; audit platforms; client portals,Automation of bookkeeping; regulatory complexity increase; talent shortage,customer_satisfaction; revenue_trend; digital_presence; community_engagement,Market competition; key-person risk; cost pressure; technology disruption,Chamber engagement; digital presence audit; competitive benchmarking,Y,CGCC,CG-OSINT-20260211-v2.0,2026-02-11
eisneramper,EisnerAmper,Mr. Michael Nazlis,(305) 371-6200,eisneramper.com,,,,,Coral Gables,accounting,Accounting & Tax Services,$$$,,,,,,,,0.55,Moderate,0.65,N,,,,asset_node,sector:accounting; network:CGCC_ecosystem,QuickBooks/Xero; tax prep; audit platforms; client portals,Automation of bookkeeping; regulatory complexity increase; talent shortage,customer_satisfaction; revenue_trend; digital_presence; community_engagement,Market competition; key-person risk; cost pressure; technology disruption,Chamber engagement; digital presence audit; competitive benchmarking,Y,CGCC,CG-OSINT-20260211-v2.0,2026-02-11
gemrt__co_llp,"GEMRT & Co., LLP",Mr. Juan Carlos Gonzalez,(305) 529-5440,gemrtcpa.com,,,,,Coral Gables,accounting,CPA Firm,$$$,,,,,,,,0.55,Moderate,0.65,N,,,,asset_node,sector:accounting; network:CGCC_ecosystem,QuickBooks/Xero; tax prep; audit platforms; client portals,Automation of bookkeeping; regulatory complexity increase; talent shortage,customer_satisfaction; revenue_trend; digital_presence; community_engagement,Market competition; key-person risk; cost pressure; technology disruption,Chamber engagement; digital presence audit; competitive benchmarking,Y,CGCC,CG-OSINT-20260211-v2.0,2026-02-11
garcia_santa_mara,Garcia Santa MarÃ­a,Mr. Eric E. Santa MarÃ­a,(305) 448-0404,gsmcpas.com,,,,,Coral Gables,accounting,Accounting & Tax Services,$$$,,,,,,,,0.55,Moderate,0.65,N,,,,asset_node,sector:accounting; network:CGCC_ecosystem,QuickBooks/Xero; tax prep; audit platforms; client portals,Automation of bookkeeping; regulatory complexity increase; talent shortage,customer_satisfaction; revenue_trend; digital_presence; community_engagement,Market competition; key-person risk; cost pressure; technology disruption,Chamber engagement; digital presence audit; competitive benchmarking,Y,CGCC,CG-OSINT-20260211-v2.0,2026-02-11
ksdt_cpa,"KSDT, CPA",Mr. Eugene Diaz,(305) 670-3370,ksdtcpa.com,,,,,Coral Gables,accounting,Accounting & Tax Services,$$$,,,,,,,,0.55,Moderate,0.65,N,,,,asset_node,sector:accounting; network:CGCC_ecosystem,QuickBooks/Xero; tax prep; audit platforms; client portals,Automation of bookkeeping; regulatory complexity increase; talent shortage,customer_satisfaction; revenue_trend; digital_presence; community_engagement,Market competition; key-person risk; cost pressure; technology disruption,Chamber engagement; digital presence audit; competitive benchmarking,Y,CGCC,CG-OSINT-20260211-v2.0,2026-02-11
miamicfo,Miamiâ€‘CFO,Mr. Rich Pototsky,(305) 676-6977,miami-cfo.com,,,,,Coral Gables,accounting,Accounting & Tax Services,$$$,,,,,,,,0.55,Moderate,0.65,N,,,,asset_node,sector:accounting; network:CGCC_ecosystem,QuickBooks/Xero; tax prep; audit platforms; client portals,Automation of bookkeeping; regulatory complexity increase; talent shortage,customer_satisfaction; revenue_trend; digital_presence; community_engagement,Market competition; key-person risk; cost pressure; technology disruption,Chamber engagement; digital presence audit; competitive benchmarking,Y,CGCC,CG-OSINT-20260211-v2.0,2026-02-11
nr_cpas_and_business_advisors,NR CPAs and Business Advisors,Mr. Nischay Rawal,(305) 978-1533,nrcpas.com,,,,,Coral Gables,accounting,CPA/Accountant,$$$,,,,,,,,0.55,Moderate,0.65,N,,,,asset_node,sector:accounting; network:CGCC_ecosystem,QuickBooks/Xero; tax prep; audit platforms; client portals,Automation of bookkeeping; regulatory complexity increase; talent shortage,customer_satisfaction; revenue_trend; digital_presence; community_engagement,Market competition; key-person risk; cost pressure; technology disruption,Chamber engagement; digital presence audit; competitive benchmarking,Y,CGCC,CG-OSINT-20260211-v2.0,2026-02-11
perezabreu_aguerrebere_sueiro__torres_pl,"Perezâ€‘Abreu, Aguerrebere, Sueiro & Torres, P.L.","Mr. Carlos Perezâ€‘Abreu, CPA",(305) 567-0150,paast.com,,,,,Coral Gables,accounting,CPA Firm,$$$,,,,,,,,0.55,Moderate,0.65,N,,,,asset_node,sector:accounting; network:CGCC_ecosystem,QuickBooks/Xero; tax prep; audit platforms; client portals,Automation of bookkeeping; regulatory complexity increase; talent shortage,customer_satisfaction; revenue_trend; digital_presence; community_engagement,Market competition; key-person risk; cost pressure; technology disruption,Chamber engagement; digital presence audit; competitive benchmarking,Y,CGCC,CG-OSINT-20260211-v2.0,2026-02-11
scheckner__hetenyi_pl,"Scheckner & Hetenyi, PL","Mr. Marcell Hetenyi, CPA",(305) 379-0603,,,,,,Coral Gables,accounting,Accounting & Tax Services,$$$,,,,,,,,0.55,Moderate,0.55,N,,,,asset_node,sector:accounting; network:CGCC_ecosystem,QuickBooks/Xero; tax prep; audit platforms; client portals,Automation of bookkeeping; regulatory complexity increase; talent shortage,customer_satisfaction; revenue_trend; digital_presence; community_engagement,Market competition; key-person risk; cost pressure; technology disruption,Chamber engagement; digital presence audit; competitive benchmarking,Y,CGCC,CG-OSINT-20260211-v2.0,2026-02-11
sharff_wittmer_kurtz_jackson__diaz_pa,"Sharff, Wittmer, Kurtz, Jackson, & Diaz, P.A.",Mr. Luis E. Diaz,(305) 666-7229,,,,,,Coral Gables,accounting,CPA Firm,$$$,,,,,,,,0.55,Moderate,0.55,N,,,,asset_node,sector:accounting; network:CGCC_ecosystem,QuickBooks/Xero; tax prep; audit platforms; client portals,Automation of bookkeeping; regulatory complexity increase; talent shortage,customer_satisfaction; revenue_trend; digital_presence; community_engagement,Market competition; key-person risk; cost pressure; technology disruption,Chamber engagement; digital presence audit; competitive benchmarking,Y,CGCC,CG-OSINT-20260211-v2.0,2026-02-11
the_molieri_group,The Molieri Group,Ms. Sonia Pascual,(786) 742-2001,molierigroupcpa.com,,,,,Coral Gables,accounting,Accounting & Consulting,$$$,,,,,,,,0.55,Moderate,0.65,N,,,,asset_node,sector:accounting; network:CGCC_ecosystem,QuickBooks/Xero; tax prep; audit platforms; client portals,Automation of bookkeeping; regulatory complexity increase; talent shortage,customer_satisfaction; revenue_trend; digital_presence; community_engagement,Market competition; key-person risk; cost pressure; technology disruption,Chamber engagement; digital presence audit; competitive benchmarking,Y,CGCC,CG-OSINT-20260211-v2.0,2026-02-11
veridian,Veridian,Mr. John Lowell,(305) 928-6822,hancockaskew.com,,,,,Coral Gables,accounting,Accounting & Consulting,$$$,,,,,,,,0.55,Moderate,0.65,N,,,,asset_node,sector:accounting; network:CGCC_ecosystem,QuickBooks/Xero; tax prep; audit platforms; client portals,Automation of bookkeeping; regulatory complexity increase; talent shortage,customer_satisfaction; revenue_trend; digital_presence; community_engagement,Market competition; key-person risk; cost pressure; technology disruption,Chamber engagement; digital presence audit; competitive benchmarking,Y,CGCC,CG-OSINT-20260211-v2.0,2026-02-11
zafar_francuz__company_llc,"Zafar Francuz & Company, LLC","Mr. Greg Francuz, CPA, MBA",(305) 281-3954,zafarcpas.com,,,,,Coral Gables,accounting,CPA Firm,$$$,,,,,,,,0.55,Moderate,0.65,N,,,,asset_node,sector:accounting; network:CGCC_ecosystem,QuickBooks/Xero; tax prep; audit platforms; client portals,Automation of bookkeeping; regulatory complexity increase; talent shortage,customer_satisfaction; revenue_trend; digital_presence; community_engagement,Market competition; key-person risk; cost pressure; technology disruption,Chamber engagement; digital presence audit; competitive benchmarking,Y,CGCC,CG-OSINT-20260211-v2.0,2026-02-11
actors_playhouse_at_the_miracle_theatre,Actors' Playhouse at the Miracle Theatre,Ms. Barbara Stein,(305) 444-9293,actorsplayhouse.org,280 Miracle Mile,25.7492488,-80.260328,33134,Miracle Mile,arts_culture,Theatres,$$,,,,,,,,0.55,Moderate,0.65,N,,,,asset_node,geo:Miracle Mile; sector:arts_culture; network:CGCC_ecosystem,Ticketing; grant mgmt; venue mgmt; digital marketing; membership,Funding uncertainty; audience development; digital engagement shift,customer_satisfaction; revenue_trend; digital_presence; community_engagement,Market competition; key-person risk; cost pressure; technology disruption,Chamber engagement; digital presence audit; competitive benchmarking,Y,CGCC+OSM,CG-OSINT-20260211-v2.0,2026-02-11
