business_name,phone,website,address,lat,lon,postcode,rating,review_count,category_raw,price,source
Truist - ATM,(919) 779-6705,https://www.truist.com/atm/nc/garner/27529/301-vandora-spgs-rd,"301 Vandora Springs Rd, Garner, NC 27529",35.7094968,-78.6235485,27529,2,2,ATM,None,apify
Chase Bank,(919) 327-2932,https://www.chase.com/,"7911 Fayetteville Rd, Raleigh, NC 27603",35.6664,-78.6971,27603,4.2,14,Bank,None,apify
First National Bank ATM,(800) 555-5455,https://www.fnb-online.com/,"945 Vandora Springs Rd, Garner, NC 27529",35.7087382,-78.6241039,27529,5,2,ATM,None,apify
K Webb's,(919) 772-0923,,"900 Poole Dr, Garner, NC 27529",35.6954831,-78.6168656,27529,3.6,7,Bank,None,apify
Bank of America ATM (Drive-thru),(844) 401-8500,https://locators.bankofamerica.com/nc/garner/financial-centers-garner-8886.html?utm_source=GMBlisting&utm_medium=organic,"547 Benson Rd, Garner, NC 27529",35.7037957,-78.6123351,27529,3,2,ATM,None,apify
Wells Fargo ATM,(800) 869-3557,https://locations.wellsfargo.com/nc/garner/791-timber-dr-ad64155?utm_campaign=Local_Listings&utm_source=Google&group=ATM&loc=AD64155,"791 Timber Dr, Garner, NC 27529",35.6859281,-78.6165102,27529,5,3,ATM,None,apify
Fifth Third Bank & ATM,(919) 325-2837,https://locations.53.com/nc/raleigh/7720-fayetteville-rd.html,"7720 Fayetteville Rd, Raleigh, NC 27603",35.66821,-78.69647,27603,3.7,6,Bank,None,apify
Coinstar Kiosk,(800) 928-2274,https://www.coinstar.com/kiosk-info?KioskId=10698&?utm_source=locationlisting&utm_medium=gmb&utm_campaign=webbutton,"1845 Aversboro Rd, Garner, NC 27529",35.6855451,-78.6154759,27529,,,ATM,None,apify
ATM (K Webb's),,,"900 Poole Dr, Garner, NC 27529",35.695663,-78.6170264,27529,,,ATM,None,apify
ATM (First Citizens Bank),,https://locations.firstcitizens.com/,"2520 Timber Dr, Garner, NC 27529",35.7138776,-78.6398311,27529,3.7,3,ATM,None,apify
Cardtronics ATM,(800) 786-9666,http://www.cardtronics.com/,"825 Timber Dr Walgreens, Garner, NC 27529",35.68549,-78.618698,27529,,,ATM,None,apify
ATM,(800) 550-5087,,"3310 Olympia Dr, Raleigh, NC 27603",35.7349395,-78.6514205,27603,4,1,ATM,None,apify
Chase ATM,(800) 935-9935,https://chase.com/locator/?jp_cmp=rb%2FLocalListings%2Faff%2Fatm%2Fna&y_source=1_MTk1NTc3NjItNzE1LWxvY2F0aW9uLndlYnNpdGU%3D,"52 Eagle Wing Way, Garner, NC 27529",35.6973577,-78.5854496,27529,5,2,ATM,None,apify
Triangle Capital Mortgage Corporation,(919) 772-8498,,"820 Benson Rd # C, Garner, NC 27529",35.69997,-78.6122148,27529,,,Mortgage lender,None,apify
PNC ATM,(888) 762-2265,https://locator.pnc.com/en/nc/garner/atm/40-cabela-dr?lnksrc=atm-listing-google,"40 Cabela Dr, Garner, NC 27529",35.6981314,-78.5854244,27529,5,1,ATM,None,apify
Wells Fargo ATM,(800) 869-3557,https://locations.wellsfargo.com/nc/garner/1225-us-hwy-70-w?utm_campaign=Local_Listings&utm_source=Google&group=ATM&loc=OS141279,"1225 US-70, Garner, NC 27529",35.7176189,-78.6372664,27529,3.7,3,ATM,None,apify
Woodforest National Bank ATM,(919) 662-0180,https://www.woodforest.com/,"4500 Fayetteville Rd, Raleigh, NC 27603",35.719098,-78.6594765,27603,3,4,ATM,None,apify
ATM,,,"214 Forest Hills Dr, Garner, NC 27529",35.7075567,-78.6228527,27529,,,ATM,None,apify
ATM,(800) 550-5087,,"401 Benson Rd, Garner, NC 27529",35.7051981,-78.6126528,27529,,,ATM,None,apify
CoinFlip Bitcoin ATM - Han-Dee Hugo's (Garner),(877) 757-2646,https://locations.coinflip.tech/us/nc/garner/401-benson-road,"401 Benson Rd, Garner, NC 27529",35.705194,-78.6127326,27529,1,1,Bank,None,apify
ATM (Rock Quarry BP),,,"1920 Rock Quarry Rd, Raleigh, NC 27610",35.7540373,-78.6130518,27610,5,1,ATM,None,apify
CashPoints® ATM,(888) 732-8562,http://www.ncsecu.org/,"1473 Benson Rd, Garner, NC 27529",35.6871778,-78.6036536,27529,5,1,ATM,None,apify
Acclaim Federal Credit Union-Greensboro,(336) 332-5302,https://www.acclaimfcu.org/,"1823 Banking St, Greensboro, NC 27408",36.0943359,-79.8148513,27408,4.8,151,Federal credit union,None,apify
ATM USA,(800) 550-5087,http://atmusa.com/,"2516 S Saunders St, Raleigh, NC 27603",35.7492228,-78.6495955,27603,,,ATM,None,apify
Byte Federal Bitcoin ATM (5th Ave Tobacco and Vapor),(786) 686-2983,https://www.bytefederal.com/bitcoin-atm-near-me/north-carolina/garner/1362,"1350 5th Ave, Garner, NC 27529",35.7095931,-78.6223651,27529,5,3,Crypto ATM,None,apify
ATM (Garner Mini-Mart),,,"807 W Garner Rd, Garner, NC 27529",35.7108044,-78.6135839,27529,1,1,ATM,None,apify
CashPoints® ATM,(888) 732-8562,http://www.ncsecu.org/,"3210 S Wilmington St, Raleigh, NC 27603",35.7370623,-78.6518885,27603,5,2,ATM,None,apify
Athena Bitcoin ATM,(312) 690-4466,https://www.athenabitcoin.com/,"900 Poole Dr, Garner, NC 27529",35.6956992,-78.616943,27529,,,Crypto ATM,None,apify
PNC ATM,(888) 762-2265,https://locator.pnc.com/en/details/nc/garner/branch/1027-us-70-hwy-w?lnksrc=atm-listing-google,"1027 US-70, Garner, NC 27529",35.7158808,-78.6338593,27529,,,ATM,None,apify
ecoATM,(858) 324-4111,http://locations.ecoatm.com/nc/raleigh/sell-my-phone-raleigh-nc-2293?utm_source=google&utm_medium=local&utm_campaign=google-local,"4500 Fayetteville Rd, Raleigh, NC 27603",35.7191937,-78.6591694,27603,3,2,ATM,None,apify
ATM (Han-Dee Hugo's),(919) 662-1825,,"3400 Benson Rd, Garner, NC 27529",35.6355959,-78.613909,27529,4,1,ATM,None,apify
CashPoints® ATM,(888) 732-8562,http://www.ncsecu.org/,"1000 Vandora Springs Rd, Garner, NC 27529",35.7077076,-78.6258748,27529,,,ATM,None,apify
ATM (Cyber City),,,"421 Chapanoke Rd, Raleigh, NC 27603",35.7342057,-78.6536926,27603,1,6,ATM,None,apify
ATM,,,"4020 Jones Sausage Rd, Garner, NC 27529",35.7257286,-78.5811739,27529,,,ATM,None,apify
CoinFlip Bitcoin ATM - Han-Dee Hugo's (Raleigh),(877) 757-2646,https://locations.coinflip.tech/us/nc/raleigh/3525-south-wilmington-street,"3525 S Wilmington St, Raleigh, NC 27603",35.7316487,-78.6506891,27603,,,Bank,None,apify
ATM USA,(919) 469-5856,http://atmusa.com/,"3400 Benson Rd, Garner, NC 27529",35.6356203,-78.6138506,27529,,,ATM,None,apify
CashPoints® ATM,(888) 732-8562,http://www.ncsecu.org/,"1311 US-70, Garner, NC 27529",35.7200698,-78.6412348,27529,,,ATM,None,apify
ATM (South Wilmington Street Gulf),,,"2570 S Wilmington St, Raleigh, NC 27603",35.7487269,-78.6441069,27603,,,ATM,None,apify
LibertyX Bitcoin ATM,(800) 511-8940,https://libertyx.com/,"825 Timber Dr Walgreens, Garner, NC 27529",35.6853898,-78.6186994,27529,,,ATM,None,apify
PNC ATM,(888) 762-2265,https://locator.pnc.com/en/nc/garner/atm/4005-jones-sausage-rd?lnksrc=atm-listing-google,"4005 Jones Sausage Rd, Garner, NC 27529",35.725266,-78.5796359,27529,,,ATM,None,apify
CoinFlip Bitcoin ATM - Han-Dee Hugo's (Raleigh),(877) 757-2646,https://locations.coinflip.tech/us/nc/raleigh/2516-south-saunders-street,"2516 S Saunders St, Raleigh, NC 27603",35.749029,-78.6492708,27603,,,Bank,None,apify
ATM (BP Station Family Sale),,,"1535 US-70, Garner, NC 27529",35.7232576,-78.6469595,27529,,,ATM,None,apify
PNC ATM,(888) 762-2265,https://locator.pnc.com/en/nc/raleigh/atm/7900-fayetteville-rd?lnksrc=atm-listing-google,"7900 Fayetteville Rd, Raleigh, NC 27603",35.6666309,-78.6985646,27603,,,ATM,None,apify
Coinstar Kiosk - Bitcoin ATM,(800) 928-2274,https://www.coinstar.com/kiosk-info?KioskId=10418?utm_source=gmb&utm_medium=gmblocationlisting&utm_campaign=webbutton,"217 Timber Dr, Garner, NC 27529",35.6861,-78.6063,27529,,,Crypto ATM,None,apify
Coinstar Kiosk - Bitcoin ATM,(800) 928-2274,https://www.coinstar.com/kiosk-info?KioskId=10372?utm_source=gmb&utm_medium=gmblocationlisting&utm_campaign=webbutton,"Food Lion, 1317 5th Ave, Garner, NC 27529",35.7082639,-78.6223455,27529,,,Crypto ATM,None,apify
ATM,,,"2708 S Saunders St, Raleigh, NC 27603",35.7444843,-78.6495146,27603,,,ATM,None,apify
CashPoints® ATM,(888) 732-8562,http://www.ncsecu.org/,"1825 US-70, Garner, NC 27529",35.6884036,-78.5512939,27529,2.3,3,ATM,None,apify
ATM,,,"1305 US-70 W, Garner, NC 27529",35.7199696,-78.6410897,27529,,,ATM,None,apify
CoinFlip Bitcoin ATM - Han-Dee Hugo's (Raleigh),(877) 757-2646,https://locations.coinflip.tech/us/nc/raleigh/1920-rock-quarry-road,"1920 Rock Quarry Rd, Raleigh, NC 27610",35.7540273,-78.6130565,27610,,,Bank,None,apify
ATM,,,"1436 Garner Station Blvd, Raleigh, NC 27603",35.7252966,-78.6527501,27603,,,ATM,None,apify
ATM (Han-Dee Hugo's),,,"2516 S Saunders St, Raleigh, NC 27603",35.7491873,-78.6495355,27603,,,ATM,None,apify
Circle K,(919) 779-3568,https://www.circlek.com/store-locator/US/raleigh/5009-fayetteville-rd/2704270?utm_source=google&utm_medium=local&utm_campaign=google-local,"5009 Fayetteville Rd, Raleigh, NC 27603",35.7115359,-78.6576003,27603,2.6,58,ATM,$3.30/Regular,apify
Cardtronics ATM,,,"2700 Timber Dr Target, Garner, NC 27529",35.7155847,-78.6388834,27529,,,ATM,None,apify
Athena Bitcoin ATM,(312) 690-4466,http://www.athenabitcoin.com/,"1305 US-70, Garner, NC 27529",35.7198088,-78.6411056,27529,,,Crypto ATM,None,apify
Cardtronics ATM,,http://www.cardtronics.com/,"1040 Timber Drive East #225, Garner, NC 27529",35.6868832,-78.5795508,27529,,,ATM,None,apify
Bitstop Bitcoin ATM,(855) 524-8786,https://bitstop.co/locations/nc/raleigh-nc/2570-s-wilmington-st-raleigh-bitcoin-atm,"2570 S Wilmington St, Raleigh, NC 27603",35.7486962,-78.6440236,27603,,,Crypto ATM,None,apify
Coinstar Kiosk - Bitcoin ATM,(800) 928-2274,https://www.coinstar.com/kiosk-info?KioskId=12709?utm_source=gmb&utm_medium=gmblocationlisting&utm_campaign=webbutton,"1601 Cross Link Rd, Raleigh, NC 27610",35.7545733,-78.6155792,27610,,,Crypto ATM,None,apify
ATM,,,"3608 Benson Rd, Garner, NC 27529",35.630439,-78.6110947,27529,,,ATM,None,apify
CashPoints® ATM,(888) 732-8562,http://www.ncsecu.org/,"3301 Hammond Rd, Raleigh, NC 27603",35.7337963,-78.638798,27603,,,ATM,None,apify
CashPoints® ATM,(888) 732-8562,http://www.ncsecu.org/,"3300 Hammond Rd, Raleigh, NC 27603",35.7353048,-78.6410272,27603,,,ATM,None,apify
Circle K,(919) 662-0336,https://www.circlek.com/store-locator/US/garner/1900-us-70-hwy-70-lh/2723479?utm_source=google&utm_medium=local&utm_campaign=google-local,"1900 US-70, Garner, NC 27529",35.6866399,-78.5495751,27529,3.1,105,ATM,$3.40/Regular,apify
ATM,,,"1969 Rock Quarry Rd, Raleigh, NC 27610",35.754025,-78.61208,27610,,,ATM,None,apify
Cardtronics ATM,,,"8801 Old Stage Rd Mart, Garner, NC 27529",35.6548726,-78.6660571,27529,,,ATM,None,apify
Coinstar Kiosk - Bitcoin ATM,,,"Food Lion, 7971 Fayetteville Rd, Raleigh, NC 27603",35.6648676,-78.6972175,27603,,,ATM,None,apify
ATM,,,"1900 US-70 E, Garner, NC 27529",35.6866285,-78.5495596,27529,,,ATM,None,apify
Circle K,(919) 743-0128,https://www.circlek.com/store-locator/US/raleigh/2506-s-saunders-i-40/2723303?utm_source=google&utm_medium=local&utm_campaign=google-local,"2506 S Saunders St & I-40, Raleigh, NC 27603",35.7494837,-78.6493657,27603,2.8,80,ATM,$3.30/Regular,apify
LibertyX Bitcoin ATM,(800) 511-8940,https://libertyx.com/,"Walgreens, 1116 US-70, Garner, NC 27529",35.7176926,-78.6346066,27529,,,ATM,None,apify
LibertyX Bitcoin ATM,(800) 511-8940,https://libertyx.com/,"Speedway, 1470 US-70, Garner, NC 27529",35.722204,-78.6432648,27529,,,ATM,None,apify
LibertyX Bitcoin ATM,(800) 511-8940,https://libertyx.com/,"2604 S Saunders St Speedway, Raleigh, NC 27603",35.7481113,-78.6493594,27603,,,ATM,None,apify
Bitstop Bitcoin ATM,(855) 524-8786,https://bitstop.co/locations/nc/garner-nc/3400-benson-rd-garner-bitcoin-atm,"3400 Benson Rd, Garner, NC 27529",35.6356403,-78.6138321,27529,,,Crypto ATM,None,apify
Gables Animal Clinic,(305) 381-5694,https://gablesanimalclinic.com/?utm_source=google&utm_medium=organic&utm_campaign=gmbwebsite,"1607 Ponce de Leon Blvd Ste 105, Coral Gables, FL 33134",25.7570819,-80.2585682,33134,4.7,127,Veterinarian,None,apify
GoodVets Coral Gables,(305) 522-6100,https://goodvets.com/locations/miami/coral-gables,"315 Miracle Mile, Coral Gables, FL 33134",25.749712,-80.2610754,33134,4.8,128,Veterinarian,None,apify
Ponce De León Animal Clinic,(305) 666-6813,http://poncedeleonanimalclinic.com/,"4561 Ponce de Leon Blvd, Coral Gables, FL 33146",25.7289542,-80.2603991,33146,4.8,228,Animal hospital,None,apify
Coral Gables Animal Hospital,(305) 590-5011,https://coralgablesanimalhospital.com/,"4569 Ponce de Leon Blvd, Coral Gables, FL 33146",25.728868,-80.2607207,33146,4.7,163,Veterinarian,None,apify
Flagler Animal Clinic,(305) 266-8320,,"5582 W Flagler St, Coral Gables, FL 33134",25.7706604,-80.2856782,33134,4.4,162,Veterinarian,None,apify
Animal Clinic 8 & 43,(305) 442-0776,,"4300 SW 8th St, Coral Gables, FL 33134",25.764098,-80.265571,33134,4.7,159,Veterinarian,None,apify
Silver Bluff Animal Clinic,(305) 859-7979,http://www.silverbluffanimalclinic.com/,"2515 SW 27th Ave, Miami, FL 33133",25.7451908,-80.2378596,33133,4.6,296,Veterinarian,None,apify
PetSmart Veterinary Services - Coral Gables,(786) 981-7155,https://pvshospitals.com/fl/coral-gables/coral-gables-1411/?utm_source=google&utm_medium=organic&utm_campaign=google-my-business,"3301 SW 22nd St, Coral Gables, FL 33145",25.750417,-80.2496863,33145,5,38,Veterinarian,None,apify
Manzano Animal Clinic,(305) 442-0776,,"4300 SW 8th St, Miami, FL 33134",25.7640489,-80.2655057,33134,3.9,7,Animal hospital,None,apify
Coral Way Animal Clinic,(305) 381-0561,https://www.coralwayanimalclinic.us/,"1801 SW 27th Ave, Miami, FL 33145",25.7548729,-80.2382087,33145,4.5,367,Veterinarian,None,apify
"Annette Thomas, VMD",(305) 667-5821,http://coralgablesanimalhospital.com/,"Animal Hospital, 4569 Ponce de Leon Blvd, Coral Gables, FL 33146",25.72881,-80.2606518,33146,5,1,Veterinarian,None,apify
GoodVets Coconut Grove,(305) 463-1201,https://www.good-vets.com/locations/miami/coconut-grove,"2840 Oak Ave, Coconut Grove, FL 33133",25.7298863,-80.240082,33133,4.7,222,Veterinarian,None,apify
Pet Lovers Animal Clinic @NW 7th St,(305) 529-4942,http://www.petloversus.com/,"4140 NW 7th St, Miami, FL 33126",25.778581,-80.2626477,33126,4.6,599,Animal hospital,None,apify
Mascota of coral gables,,,"3301 Coral Wy, Miami, FL 33145",25.750451,-80.2497308,33145,5,2,Veterinarian,None,apify
"Victor Soler-Baillo, DVM",(305) 443-4777,https://miamianimalhospital.com/about-us/team/dr-victor-soler/?utm_medium=organic&utm_source=gmb&utm_campaign=ldvm_site&utm_content=miami_soler-baillo_victor,"4701 W Flagler St, Coral Gables, FL 33134",25.7716643,-80.2718881,33134,,,Veterinarian,None,apify
LibertyX Bitcoin ATM,(800) 511-8940,https://libertyx.com/,"1601 Cross Link Rd Walgreens, Raleigh, NC 27610",35.7545733,-78.6155792,27610,,,ATM,None,apify
LibertyX Bitcoin ATM,(800) 511-8940,https://libertyx.com/,"7800 Fayetteville Rd, Raleigh, NC 27603",35.6686509,-78.698902,27603,,,ATM,None,apify
Jae's Fine Jewelers,(305) 443-7724,http://www.jaesjewelers.com/,"237 Miracle Mile, Coral Gables, FL 33134",25.749719,-80.259497,33134,4.9,235,Jewelry store,None,apify
Lisandra’s Jewelry of Miami,(305) 269-3889,,"5546 SW 8th St, Coral Gables, FL 33134",25.7633424,-80.2847506,33134,5,45,Jeweler,None,apify
Montica Jewelry,(305) 446-2957,http://www.montica.com/,"500 S Dixie Hwy #203, Coral Gables, FL 33146",25.7244264,-80.2636373,33146,5,123,Jewelry store,None,apify
Savage Jewelry,,https://www.savagejewelrylab.com/,"337 Alcazar Ave, Coral Gables, FL 33134",25.7529981,-80.2616487,33134,5,7,Costume jewelry shop,None,apify
San Lazaro Jewelry,(305) 567-9747,http://www.sanlazarojewelry.com/,"3831 SW 8th St, Coral Gables, FL 33134",25.764771,-80.257776,33134,4.4,65,Jewelry store,None,apify
Rudy Santayana Jewelry Designs,(786) 801-0111,https://rudysantayana.com/,"4100 Salzedo St Apt 15, Coral Gables, FL 33146",25.7339613,-80.2605549,33146,5,226,Jewelry store,None,apify
Morays Jewelers,(305) 374-0739,https://www.moraysjewelers.com/,"116 Miracle Mile, Coral Gables, FL 33134",25.7494648,-80.2571288,33134,4.6,53,Jewelry store,None,apify
Gables Gems,(305) 444-2335,https://gablesgems.com/,"250 Miracle Mile, Coral Gables, FL 33134",25.7491613,-80.2597768,33134,4.7,15,Jeweler,None,apify
Castillo de Oro Jewelry,(786) 818-3404,http://www.castillodeorojewelers.com/,"4312 SW 8th St, Coral Gables, FL 33134",25.7641105,-80.2656565,33134,5,975,Jewelry store,None,apify
Miami Jewelry,(305) 724-2474,https://miamijewelry.shop/,"4805 SW 8th St, Miami, FL 33134",25.7646491,-80.2745458,33134,4.5,26,Jewelry store,None,apify
By Design Jewelers,(305) 441-9347,https://bydesignjewelers.com/,"1607 Ponce de Leon Blvd Ste 106, Coral Gables, FL 33134",25.7570815,-80.2587342,33134,5,34,Jewelry store,None,apify
Golden Touch Jewelry Homestead Ave,,https://goldentouchjewelry.lakomarca.com/,"4800 W Flagler St, Coral Gables, FL 33134",25.7711185,-80.2741728,33134,4.9,27,Jewelry store,None,apify
Hugo's Diamond & Jewelry Inc,(305) 648-9777,,"4330 SW 8th St, Coral Gables, FL 33134",25.764088,-80.266036,33134,4.1,19,Jewelry store,None,apify
Lelê Reis Luxury Crystal Jewelry,,https://www.lelereis.com/,"216 Miracle Mile, Coral Gables, FL 33134",25.7492246,-80.2592352,33134,5,1,Jewelry designer,None,apify
Princess Joyeria,(786) 777-9852,https://www.princessjoyeria.es/,"4705 SW 8th St, Coral Gables, FL 33134",25.7643454,-80.2718012,33134,5,48,Jewelry store,None,apify
Gables Fancy Corner,(786) 663-4226,http://gablesfancycorner.com/,"1607 Ponce de Leon Blvd Ste 102, Coral Gables, FL 33134",25.7570819,-80.2585682,33134,5,19,Jewelry store,None,apify
Masi Jewelry,(786) 850-6916,https://www.masijewelry.com/,"104 Madeira Ave, Coral Gables, FL 33134",25.7559073,-80.2570973,33134,5,8,Jewelry store,None,apify
Joy Jewelry Inc.,(201) 689-1150,http://www.joyjewelryusa.com/,"228 Rivervale Rd, River Vale, NJ 07675",40.9966366,-74.0069081,07675,5,3,Wholesale jeweler,None,apify
As De Oro Jewelry,,,"4800 W Flagler St, Miami, FL 33134",25.7711185,-80.2741728,33134,4.5,41,Jewelry store,None,apify
Amaury Jewelry,(305) 445-5242,https://amauryjewelry.com/,"4850 SW 8th St, Coral Gables, FL 33134",25.7638599,-80.2743071,33134,4.7,283,Jeweler,None,apify
The Paper Store,(201) 785-7500,https://www.thepaperstore.com/store-locator#!/Ramsey-36-Interstate-Shopping-Center-07446,"36 Interstate Shop Center, Ramsey, NJ 07446",41.0667471,-74.1377675,07446,4.3,53,Jewelry store,None,apify
Apple Tice's Corner,(201) 474-4180,https://www.apple.com/retail/tices?cid=aos-us-seo-maps,"441 Chestnut Ridge Rd, Woodcliff Lake, NJ 07677",41.041881,-74.0750687,07677,3.9,534,Electronics store,None,apify
Apple Nanuet,(845) 215-6980,https://www.apple.com/retail/nanuet?cid=aos-us-seo-maps,"8115 Fashion Dr, Nanuet, NY 10954",41.095637,-74.0161056,10954,3.7,1019,Electronics store,None,apify
Westlake Ace Hardware,(919) 834-8600,http://www.acehardware.com/store-details/16931,"802 Semart Dr #112, Raleigh, NC 27604",35.7906835,-78.6399251,27604,4.6,407,Hardware store,None,apify
Taylor's Do it Center,(757) 622-7175,https://doitbest.com/taylors-do-it-centers/?utm_source=google&utm_medium=organic&utm_campaign=gmb_norfolk_colley,"3400 Colley Ave, Norfolk, VA 23508",36.8774943,-76.2944447,23508,4.4,633,Hardware store,None,apify
Shell Lumber and Hardware,(305) 856-6401,https://www.shelllumber.com/,"2733 SW 27th Ave, Miami, FL 33133",25.7412656,-80.2376642,33133,4.6,1067,Hardware store,None,apify
Blackhawk Hardware and Garden Center,(704) 525-2682,https://www.blackhawkhardware.com/,"4225 Park Rd, Charlotte, NC 28209",35.174597,-80.8481135,28209,4.7,1077,Hardware store,None,apify
Pleasants Hardware,(804) 768-9464,https://www.doitbest.com/pleasants-hardware/?utm_source=google&utm_medium=organic&utm_campaign=gmb_chesterfield,"6439 Centralia Rd, Chesterfield, VA 23832",37.3718487,-77.4992352,23832,4.4,435,Hardware store,None,apify
"Colonial Hardware Co (Traeger Dealer, Cheapest Transponder Keys in Town!)",(336) 226-3754,https://www.colonialhardwaregraham.com/,"104 E Elm St, Graham, NC 27253",36.069462,-79.399478,27253,4.7,344,Hardware store,None,apify
Cleveland Ace Hardware,(919) 779-2950,https://www.acehardware.com/?utm_source=google&utm_medium=local&utm_campaign=localmaps&utm_content=17912,"7283 Veterans Pkwy Ste 204, Raleigh, NC 27603",35.5919943,-78.6015177,27603,4.6,444,Hardware store,None,apify
Taylor's Do it Center,(757) 484-4545,https://doitbest.com/taylors-do-it-centers/?utm_source=google&utm_medium=organic&utm_campaign=gmb_suffolk,"3235 Bridge Rd, Suffolk, VA 23435",36.8627845,-76.4826751,23435,4.5,280,Hardware store,None,apify
Westlake Ace Hardware,(984) 465-1605,http://www.acehardware.com/store-details/16951,"2976 Kildaire Farm Rd, Cary, NC 27518",35.7182064,-78.7886107,27518,4.4,287,Hardware store,None,apify
Holly Springs Ace Hardware,(919) 567-0233,https://www.acehardware.com/?utm_source=google&utm_medium=local&utm_campaign=localmaps&utm_content=17908,"509 N Main St, Holly Springs, NC 27540",35.6592172,-78.8369797,27540,4.6,337,Hardware store,None,apify
Taylor's Do it Center,(757) 868-8635,https://doitbest.com/taylors-do-it-centers/?utm_source=google&utm_medium=organic&utm_campaign=gmb_poquoson,"475 Wythe Creek Rd, Poquoson, VA 23662",37.1252457,-76.3929712,23662,4.3,209,Hardware store,None,apify
Westlake Ace Hardware,(919) 790-8832,http://www.acehardware.com/store-details/16537,"6196 Falls of Neuse Rd #100, Raleigh, NC 27609",35.8669905,-78.6191475,27609,4.5,468,Hardware store,None,apify
"Craft American Hardware, Inc.",(910) 256-4782,https://www.doitbest.com/crafthardware/,"7002 Wrightsville Ave, Wilmington, NC 28403",34.2198805,-77.8223951,28403,4.7,134,Hardware store,None,apify
Lanier Ace Hardware,(336) 248-5935,http://www.lanierhardware.com/?utm_source=google&utm_medium=local&utm_campaign=localmaps&utm_content=16863,"218 S Main St, Lexington, NC 27292",35.8226497,-80.2551193,27292,4.7,846,Hardware store,None,apify
Overstreet Hardware and Home,(434) 616-2989,http://www.overstreethardware.com/?utm_source=google&utm_medium=local&utm_campaign=localmaps&utm_content=17086,"15097 Forest Rd, Forest, VA 24551",37.3643697,-79.2932759,24551,4.6,258,Hardware store,None,apify
Stevens Ace Hardware-Market Street,(910) 202-5070,http://www.stevensacehardware.com/?utm_source=google&utm_medium=local&utm_campaign=localmaps&utm_content=16140,"6756 Market St, Wilmington, NC 28405",34.2585551,-77.834835,28405,4.5,433,Hardware store,None,apify
Elder's Ace Hardware-Florence,(843) 669-6393,https://www.eldershardware.com/locations/florence?utm_source=google&utm_medium=local&utm_campaign=localmaps&utm_content=18941,"155 S Cashua Dr, Florence, SC 29501",34.1931867,-79.8035596,29501,4.5,594,Hardware store,None,apify
Zebulon Hardware,(919) 375-4886,http://zebulonhardware.com/,"412 W Gannon Ave, Zebulon, NC 27597",35.8217168,-78.3227891,27597,4.6,55,Hardware store,None,apify
Henderson Supply Co. Inc.,(843) 383-5131,http://www.acehardware.com/store-details/06198?utm_source=google&utm_medium=local&utm_campaign=localmaps&utm_content=06198,"935 S Fourth St, Hartsville, SC 29550",34.363163,-80.0626209,29550,4.5,262,Hardware store,None,apify
Moneta Farm & Home Center,(540) 297-5558,http://www.monetafhc.com/?utm_source=google&utm_medium=local&utm_campaign=localmaps&utm_content=18482,"11739 Moneta Rd, Moneta, VA 24121",37.19609,-79.6000571,24121,4.6,315,Hardware store,None,apify
Taylor's Do it Center,(757) 482-3367,https://doitbest.com/taylors-do-it-centers/?utm_source=google&utm_medium=organic&utm_campaign=gmb_taylors_chesapeake_great_bridge,"330 S Battlefield Blvd, Chesapeake, VA 23322",36.7128031,-76.2393564,23322,4.4,466,Hardware store,None,apify
Taylor's Do it Center,(757) 531-8600,https://doitbest.com/taylors-do-it-centers/?utm_source=google&utm_medium=organic&utm_campaign=gmb_norfolk_little_creek,"2400 E Little Creek Rd, Norfolk, VA 23518",36.9162645,-76.2159626,23518,4.3,576,Hardware store,None,apify
Taylor's Do it Center,(757) 962-9343,https://doitbest.com/taylors-do-it-centers/?utm_source=google&utm_medium=organic&utm_campaign=gmb_va_beach_kempsville,"5258 Fairfield Shopping Centre #b, Virginia Beach, VA 23464",36.8153922,-76.1690134,23464,4.4,319,Hardware store,None,apify
Taylor's Do it Center,(757) 460-3716,https://doitbest.com/taylors-do-it-centers/?utm_source=google&utm_medium=organic&utm_campaign=gmb_va_beach_haygood,"1123 Independence Blvd, Virginia Beach, VA 23455",36.876695,-76.134824,23455,4.5,648,Hardware store,None,apify
Taylor's Do it Center,(757) 425-6120,https://doitbest.com/taylors-do-it-centers/?utm_source=google&utm_medium=organic&utm_campaign=gmb_va_beach_hilltop,"1609 Laskin Rd, Virginia Beach, VA 23451",36.850715,-76.017418,23451,4.5,360,Hardware store,None,apify
Taylor's Do it Center,(252) 435-1521,https://doitbest.com/taylors-do-it-centers/?utm_source=google&utm_medium=organic&utm_campaign=gmb_moyock,"100 Lark Dr, Moyock, NC 27958",36.5189252,-76.1725267,27958,4.3,252,Hardware store,None,apify
Taylor’s Do it Center,(757) 222-0013,https://doitbest.com/taylors-do-it-centers/?utm_source=google&utm_medium=organic&utm_campaign=gmb_va_beach_marina_shores,"2865 Lynnhaven Dr, Virginia Beach, VA 23451",36.9068888,-76.0684712,23451,4.4,167,Hardware store,None,apify
Grainger Industrial Supply,(800) 472-4643,https://www.grainger.com/branch/Norfolk-Branch-552,"1401 Sewells Point Rd, Norfolk, VA 23502",36.8663058,-76.229716,23502,4.4,66,Tool store,None,apify
Village Ace Hardware,(910) 327-3646,http://www.acehardware.com/store-details/16801?utm_source=google&utm_medium=local&utm_campaign=localmaps&utm_content=16801,"2135 NC-172, Sneads Ferry, NC 28460",34.5519609,-77.4205148,28460,4.7,438,Hardware store,None,apify
