business_name,phone,website,address,lat,lon,postcode,rating,review_count,category_raw,price,source
"Alfredo A. Izaguirre, P.A.",(305) 442-0425,https://www.izaguirrelaw.com/?utm_campaign=gmb,"338 Minorca Ave, Coral Gables, FL 33134",,,,4.9,106,"['Criminal justice attorney', 'Law firm', 'Legal services']",,serpapi
Alex All Electric,(786) 362-9679,https://electricianformiami.com/,"8710 SW 42nd Terrace, Miami, FL 33165",,,,4.9,120,['Electrician'],,serpapi
Alliant Insurance Services Inc,(305) 421-0900,https://alliant.com/,"804 Douglas Rd Ste 830, Coral Gables, FL 33134",,,,1,1,Insurance broker,,serpapi
Alto Tostado Coffee Roasters,(786) 907-4753,https://www.altotostado.com/,"374 Miracle Mile, Coral Gables, FL 33134",,,,5,101,['Coffee roastery'],,serpapi
Alma Bella Yoga,(305) 282-5345,,"3081 Salzedo St Ste 202, Coral Gables, FL 33134",,,,5,5,"['Yoga instructor', 'Yoga studio']",,serpapi
Amaury Jewelry,(305) 445-5242,https://amauryjewelry.com/,"4850 SW 8th St, Coral Gables, FL 33134",,,,4.7,283,"['Jeweler', 'Jewelry repair service', 'Jewelry store', 'Pawn shop']",,serpapi
ALO,(305) 351-4771,https://www.aloyoga.com/?utm_source=extnet&utm_medium=yext,"358 San Lorenzo Ave Unit 1076, Coral Gables, FL 33146",,,,3.7,51,['Clothing store'],,serpapi
American Children's Orchestras,(305) 285-2303,https://www.americanchildrensorchestras.org/,"2150 Coral Wy, Coral Gables, FL 33145",,,,4.3,6,['Social services organization'],,serpapi
Amerifirst Construction Corp - CGC # 1507077,(305) 306-1415,https://amerifirstconstruction.com/,"1825 Ponce de Leon Blvd #50, Miami, FL 33134",,,,5,22,"['Construction company', 'Bathroom remodeler', 'Building restoration service', 'Contractor', 'Flooring contractor', 'General contractor', 'Kitchen remodeler', 'Remodeler', 'Roofing contractor', 'Steel construction company']",,serpapi
Aloft Coral Gables,(305) 442-0372,https://www.marriott.com/en-us/hotels/miacl-aloft-coral-gables/overview/?scid=f2ae0541-1279-4f24-b197-a979c79310b0,"2524 S Le Jeune Rd, Coral Gables, FL 33134",,,,3.9,823,"['Hotel', 'Meeting planning service']",,serpapi
Amigo Grill & Co,(305) 456-8125,http://amigogrillandco.com/,"98 Miracle Mile, Coral Gables, FL 33134",,,,4.7,258,"['Steak house', 'Grill']",,serpapi
Amigos Tutoring (Coral Gables),(305) 763-2913,http://amigostutoring.com/,"2100 Coral Wy, Coral Gables, FL 33145",,,,5,110,['Tutoring service'],,serpapi
Aleida Martinez Family Day Care Center,(347) 692-9411,,"3448 SW 3rd St, Miami, FL 33135",,,,5,9,Family day care service,,serpapi
Animal Clinic 8 & 43,(305) 442-0776,,"4300 SW 8th St, Coral Gables, FL 33134",,,,4.7,159,['Veterinarian'],,serpapi
Amore Restaurant and Bar,(786) 278-5533,https://thatsamorerestaurant.com/,"620 Ocean Dr, Miami Beach, FL 33139",,,,4.8,13604,Italian restaurant,,serpapi
Anthem Advisors,(305) 482-3002,https://www.anthemadvice.com/,"2600 Douglas Rd #1104, Coral Gables, FL 33134",,,,5,8,['Financial planner'],,serpapi
"Antonio Perez CPA, P.A.",(786) 478-7715,https://www.antoniocpa.com/,"2332 Galiano St 2nd floor, Coral Gables, FL 33134",,,,5,10,['Certified public accountant'],,serpapi
APTI American Physical Therapy Institute,(305) 323-8653,,"1541 Sunset Dr Mezzanine, Coral Gables, FL 33143",,,,,,Physical therapist,,serpapi
Aran Eye Associates - Coral Gables,(305) 442-2020,http://www.araneye.com/,"1097 S Le Jeune Rd, Miami, FL 33134",,,,4.3,1096,Eye care center,,serpapi
Arhaus,(786) 228-7067,https://www.arhaus.com/pages/coral-gables-fl,"4400 Ponce de Leon Blvd #1600, Coral Gables, FL 33146",,,,3.8,61,"['Furniture store', 'Home goods store']",,serpapi
Alzheimers Association,(800) 272-3900,https://www.alz.org/,"2828 Coral Wy #103, Miami, FL 33145",,,,,,Association / Organization,,serpapi
Anthropologie,(305) 443-0021,https://www.anthropologie.com/stores/village-of-merrick-park-coral-gables?utm_medium=organic&utm_source=google&utm_campaign=local&utm_content=440,"Village at Merrick Park, 330 San Lorenzo Ave, Coral Gables, FL 33146",,,,4.3,104,"[""Women's clothing store"", 'Beauty supply store', 'Fashion accessories store', 'Furniture store', 'Home goods store']",,serpapi
ARPE Engineering,(305) 444-9809,http://www.arpe-eng.com/,"2020 Ponce de Leon Blvd Suite 1002, Coral Gables, FL 33134",,,,5,1,"['Engineer', 'Electrical engineer', 'Engineering consultant', 'Fire protection consultant', 'Mechanical engineer']",,serpapi
Armstrong Jazz House,(305) 488-9955,https://armstrongjazzhouse.com/,"271 Miracle Mile, Coral Gables, FL 33134",,,,4.7,2344,"['Restaurant', 'Bar & grill', 'French steakhouse restaurant', 'Jazz club', 'Live music bar', 'Lounge bar']",,serpapi
Arrowhead Nursery and Kindergarten,(305) 264-2345,http://www.arrowheadkinder.com/,"1210 SW 78th Ct, Miami, FL 33144",,,,4.7,6,"['Nursery school', 'Kindergarten']",,serpapi
Artefacto Coral Gables,(305) 774-0004,https://www.artefacto.com/,"101 S Dixie Hwy, Coral Gables, FL 33146",,,,3.9,65,['Furniture store'],,serpapi
Ansbacher Law,(305) 400-8009,https://www.ansbacher.net/,"1430 S Dixie Hwy Ste 322, Coral Gables, FL 33146",,,,5,33,"['Law firm', 'Attorney', 'Personal injury attorney', 'Real estate attorney', 'Title company', 'Trial attorney']",,serpapi
Armando Palacios Barber Studio - Coral Gables,(786) 469-1573,https://apbarberstudio.com/,"2761 Coral Wy, Miami, FL 33145",,,,5,521,"['Barber shop', 'Facial spa', 'Spa', 'Waxing hair removal service']",,serpapi
Arte y Pasión Cafe,(786) 542-9746,http://arteypasioncafe.com/,"205 Aragon Ave, Coral Gables, FL 33134",,,,4.9,1089,"['Cafe', 'Brunch restaurant']",,serpapi
Arthur J. Gallagher,(305) 592-6080,https://locations.ajg.com/us/fl/miami/9155-south-dadeland-boulevard?utm_source=google&utm_medium=Google_My_Business&utm_campaign=GMB_website_click_9155+South+Dadeland+Boulevard+Miami&y_source=1_MzE5NjgxMjctNzE1LWxvY2F0aW9uLndlYnNpdGU%3D,"9155 S Dadeland Blvd Ste 1112, Miami, FL 33156",,,,5,1,Insurance agency,,serpapi
